Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
5/4;3/2;[[0,0,0,0],[1,0,0,0],[0,2,0,0],[0,0,1,0],[2,4,5,8]]
19/8;3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[0,4,13,16]]
3/8;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[5,5,5,16]]
7/4;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,1,4,0],[2,1,0,4]]
1/2;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,6,11,16]]
1/2;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,10,7,16]]
7/4;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[1,1,2,0],[1,5,2,8]]
3/2;2;[[0,0,0,0],[2,0,0,0],[0,1,0,0],[0,0,1,0],[0,2,3,8]]
3/2;3/2;[[0,0,0,0],[2,0,0,0],[0,1,0,0],[0,0,1,0],[0,6,7,8]]
3/2;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,2,0],[4,2,6,8]]
15/8;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[8,4,5,16]]
3/2;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[1,1,2,0],[3,1,6,8]]
5/4;5/4;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,4,0],[3,3,0,4]]
7/8;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[6,10,9,16]]
2;2;[[0,0,0,0],[1,0,0,0],[0,2,0,0],[0,0,2,0],[2,0,2,4]]
1/2;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[14,14,7,16]]
3/8;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,3,9,16]]
5/8;3/2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,6,5,16]]
