Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
11/15;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,1,2,15]]
9/5;3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[5,10,1,15]]
23/15;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[6,6,4,15]]
5/3;13/6;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[5,3,8,15]]
11/15;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,3,13,15]]
3/5;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,11,14,15]]
3/5;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,11,11,15]]
7/15;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[4,4,14,15]]
1/3;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,2,2,15]]
7/15;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,1,2,15]]
3/5;3/2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,2,2,15]]
11/15;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[9,13,14,15]]
1;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[12,12,12,15]]
1/3;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[7,11,14,15]]
13/15;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[6,9,11,15]]
3/5;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[7,7,7,15]]
7/15;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[7,7,14,15]]
7/15;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[7,7,11,15]]
