Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
5/3;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,2,3,0],[1,1,0,3]]
5/3;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,2,3,0],[1,0,0,3]]
5/9;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,2,2,9]]
7/9;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,1,2,9]]
1;3/2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,2,2,9]]
5/9;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[4,8,8,9]]
13/9;3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,1,8,9]]
7/3;3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,1,3,0],[1,0,0,3]]
1;5/3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[6,2,5,9]]
5/3;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,8,8,9]]
23/9;3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[0,3,7,9]]
7/3;7/3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,1,3,0],[2,2,0,3]]
7/9;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[4,4,8,9]]
7/9;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,1,5,9]]
5/3;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[6,2,2,9]]
29/9;4;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[0,0,1,9]]
5/9;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,1,1,9]]
11/9;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,3,7,9]]
3;3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,1,3,0],[0,1,0,3]]
11/9;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,3,1,9]]
5/3;5/3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,2,3,0],[2,0,0,3]]
1;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,2,8,9]]
17/9;3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,6,1,9]]
5/3;7/3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,2,5,9]]
7/9;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,2,4,9]]
13/9;3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,2,7,9]]
5/9;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,1,4,9]]
5/3;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,3,0],[1,1,0,3]]
17/9;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,3,4,9]]
5/9;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,2,2,9]]
13/9;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,4,4,9]]
7/3;3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[0,2,8,9]]
1;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[6,8,8,9]]
2;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,2,2,3],[0,2,2,1]]
6/5;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,3,4,5],[1,0,-1,-1]]
8/3;3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[2,2,3,0],[0,0,0,1],[4,2,6,1]]
2;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,0,2,3],[2,-2,4,3]]
7/4;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,1,2,3],[2,0,-1,-1]]
5/3;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[1,1,3,0],[0,0,0,1],[2,3,6,-1]]
5/3;2;[[0,0,0,0],[1,0,0,0],[1,3,0,0],[0,0,1,0],[0,0,0,1],[2,2,-1,-1]]
9/4;5/2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,1,2,3],[-1,3,0,1]]
8/3;3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[0,1,0,3],[1,2,-2,6]]
10/7;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[0,0,0,1],[7,-2,-3,-3]]
3;3;[[0,0,0,0],[2,0,0,0],[0,1,0,0],[0,0,1,0],[0,0,0,1],[-5,1,1,-1]]
