Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
5/17;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[5,15,16,17]]
5/17;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,3,3,17]]
5/17;3/2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,3,6,17]]
5/17;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,3,13,17]]
5/17;3/2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,6,13,17]]
5/17;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,3,6,17]]
5/17;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,2,2,17]]
5/17;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,1,2,17]]
21/17;3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,4,13,17]]
5/17;3/2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,2,3,17]]
5/17;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,1,7,17]]
5/17;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,1,8,17]]
5/17;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[5,5,10,17]]
5/17;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,5,6,17]]
21/17;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,3,12,17]]
5/17;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,9,12,17]]
5/17;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,2,4,17]]
5/17;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,3,5,17]]
21/17;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[3,16,16,17]]
21/17;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,4,12,17]]
5/17;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,2,3,17]]
5/17;4/3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,2,5,17]]
21/17;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,5,11,17]]
21/17;3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,5,12,17]]
5/17;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,8,11,17]]
5/17;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,5,14,17]]
5/17;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[4,7,12,17]]
5/17;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,4,6,17]]
5/17;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,1,3,17]]
5/17;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,3,3,17]]
21/17;3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,3,14,17]]
5/17;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[4,4,11,17]]
5/17;1;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,2,7,17]]
37/17;3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[0,3,15,17]]
5/17;4/3;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[2,3,5,17]]
5/17;2;[[0,0,0,0],[1,0,0,0],[0,1,0,0],[0,0,1,0],[1,4,6,17]]
