Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
4/23;1;[[0,0,0],[1,0,0],[0,1,0],[2,8,23]]
48/23;3;[[0,0,0],[1,0,0],[0,1,0],[0,1,23]]
4/23;2;[[0,0,0],[1,0,0],[0,1,0],[1,7,23]]
4/23;1;[[0,0,0],[1,0,0],[0,1,0],[2,5,23]]
4/23;4/5;[[0,0,0],[1,0,0],[0,1,0],[3,6,23]]
26/23;2;[[0,0,0],[1,0,0],[0,1,0],[4,20,23]]
4/23;5/6;[[0,0,0],[1,0,0],[0,1,0],[3,7,23]]
26/23;2;[[0,0,0],[1,0,0],[0,1,0],[5,19,23]]
4/23;1;[[0,0,0],[1,0,0],[0,1,0],[4,10,23]]
4/23;1;[[0,0,0],[1,0,0],[0,1,0],[7,7,23]]
4/23;1;[[0,0,0],[1,0,0],[0,1,0],[2,6,23]]
4/23;1;[[0,0,0],[1,0,0],[0,1,0],[2,11,23]]
4/23;3/4;[[0,0,0],[1,0,0],[0,1,0],[9,17,23]]
4/23;1;[[0,0,0],[1,0,0],[0,1,0],[2,7,23]]
26/23;2;[[0,0,0],[1,0,0],[0,1,0],[3,21,23]]
4/23;2;[[0,0,0],[1,0,0],[0,1,0],[1,1,23]]
4/23;2;[[0,0,0],[1,0,0],[0,1,0],[1,5,23]]
4/23;1;[[0,0,0],[1,0,0],[0,1,0],[2,2,23]]
4/23;1;[[0,0,0],[1,0,0],[0,1,0],[2,9,23]]
4/23;1;[[0,0,0],[1,0,0],[0,1,0],[5,5,23]]
4/23;1;[[0,0,0],[1,0,0],[0,1,0],[2,3,23]]
4/23;1;[[0,0,0],[1,0,0],[0,1,0],[4,4,23]]
26/23;2;[[0,0,0],[1,0,0],[0,1,0],[2,22,23]]
4/23;1;[[0,0,0],[1,0,0],[0,1,0],[5,20,23]]
4/23;3/4;[[0,0,0],[1,0,0],[0,1,0],[7,19,23]]
4/23;1;[[0,0,0],[1,0,0],[0,1,0],[3,3,23]]
4/23;1;[[0,0,0],[1,0,0],[0,1,0],[3,22,23]]
4/23;2;[[0,0,0],[1,0,0],[0,1,0],[1,3,23]]
4/23;1;[[0,0,0],[1,0,0],[0,1,0],[9,16,23]]
