Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
24/11;3;[[0,0,0],[1,0,0],[0,1,0],[0,1,11]]
4/11;1;[[0,0,0],[1,0,0],[0,1,0],[2,5,11]]
14/11;2;[[0,0,0],[1,0,0],[0,1,0],[2,10,11]]
4/11;1;[[0,0,0],[1,0,0],[0,1,0],[5,8,11]]
4/11;2;[[0,0,0],[1,0,0],[0,1,0],[1,1,11]]
4/11;1;[[0,0,0],[1,0,0],[0,1,0],[2,2,11]]
4/11;1;[[0,0,0],[1,0,0],[0,1,0],[2,3,11]]
4/11;2;[[0,0,0],[1,0,0],[0,1,0],[1,3,11]]
4/11;2;[[0,0,0],[1,0,0],[0,1,0],[1,2,11]]
14/11;2;[[0,0,0],[1,0,0],[0,1,0],[3,9,11]]
4/11;1;[[0,0,0],[1,0,0],[0,1,0],[3,10,11]]
1;1;[[0,0,0],[1,0,0],[0,1,0],[2,2,7],[1,0,-1]]
5/3;2;[[0,0,0],[1,0,0],[0,1,0],[3,3,5],[0,3,2]]
1;1;[[0,0,0],[1,0,0],[0,1,0],[4,4,5],[2,4,3]]
4/5;1;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[2,-5,-5]]
5/4;2;[[0,0,0],[1,0,0],[0,1,0],[1,4,5],[1,-3,-3]]
2;2;[[0,0,0],[2,0,0],[0,1,0],[1,1,2],[4,1,1]]
7/5;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[-8,-2,1]]
3/2;2;[[0,0,0],[1,0,0],[0,1,0],[1,0,3],[2,-2,-2]]
9/7;2;[[0,0,0],[1,0,0],[0,1,0],[1,2,3],[1,-4,-4]]
4/3;3/2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[-4,-6,3]]
4/5;1;[[0,0,0],[1,0,0],[0,1,0],[2,3,5],[2,1,1]]
2;2;[[0,0,0],[1,0,0],[0,1,0],[2,4,5],[0,-3,-3]]
3/5;1;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[4,-5,-5]]
1;1;[[0,0,0],[1,0,0],[2,3,0],[0,0,1],[4,1,-1]]
2;2;[[0,0,0],[1,0,0],[0,1,0],[1,1,2],[5,1,1]]
17/10;2;[[0,0,0],[1,0,0],[0,1,0],[2,8,9],[0,2,1]]
2/3;1;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[3,-5,-5]]
7/5;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[-6,-4,1]]
3;3;[[0,0,0],[1,0,0],[1,3,0],[0,0,1],[0,-8,1]]
6/5;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[1,-7,-3]]
31/35;1;[[0,0,0],[1,0,0],[0,1,0],[2,1,5],[-1,-1,-6]]
32/21;2;[[0,0,0],[1,0,0],[0,1,0],[4,2,5],[-4,-1,-6]]
11/6;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[5,-10,6]]
5/3;2;[[0,0,0],[1,0,0],[0,1,0],[3,3,5],[0,-2,-2]]
7/5;2;[[0,0,0],[1,0,0],[0,1,0],[4,1,5],[2,1,1]]
4/7;1;[[0,0,0],[1,0,0],[2,3,0],[0,0,1],[-2,-5,-1]]
13/10;3/2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[-10,2,4]]
11/9;2;[[0,0,0],[1,0,0],[0,1,0],[1,6,7],[1,-2,-2]]
9/10;1;[[0,0,0],[1,0,0],[0,1,0],[0,2,3],[-2,0,1]]
8/9;1;[[0,0,0],[1,0,0],[0,1,0],[7,7,8],[2,1,1]]
11/9;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[9,-8,-2]]
6/7;1;[[0,0,0],[1,0,0],[0,1,0],[2,2,5],[-2,-1,-6]]
3;3;[[0,0,0],[1,0,0],[1,5,0],[0,0,1],[0,-6,1]]
3/2;2;[[0,0,0],[1,0,0],[0,1,0],[4,4,7],[0,2,1]]
1;1;[[0,0,0],[1,0,0],[0,1,0],[6,5,7],[2,1,1]]
1;1;[[0,0,0],[1,0,0],[2,4,0],[0,0,1],[5,9,-1]]
8/5;2;[[0,0,0],[1,0,0],[0,1,0],[2,2,3],[4,-2,1]]
9/7;2;[[0,0,0],[1,0,0],[0,1,0],[1,3,5],[1,-2,-2]]
3;3;[[0,0,0],[1,0,0],[1,2,0],[0,0,1],[0,-9,1]]
4/5;1;[[0,0,0],[1,0,0],[0,1,0],[1,4,5],[2,1,1]]
2;2;[[0,0,0],[1,0,0],[2,3,0],[0,0,1],[-4,-4,1]]
5/3;2;[[0,0,0],[1,0,0],[0,2,0],[0,0,1],[-3,-3,1]]
5/3;2;[[0,0,0],[1,0,0],[0,1,0],[4,4,7],[-2,-1,-4]]
3;3;[[0,0,0],[1,0,0],[1,4,0],[0,0,1],[0,-7,1]]
3/2;2;[[0,0,0],[1,0,0],[0,1,0],[1,1,4],[2,1,1]]
7/4;2;[[0,0,0],[1,0,0],[0,1,0],[2,4,5],[2,7,8]]
2;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[-5,-5,1]]
3/4;1;[[0,0,0],[1,0,0],[0,1,0],[3,2,7],[1,2,3]]
7/6;4/3;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[2,9,-4]]
9/7;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[7,-4,-6]]
4/3;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[6,-5,-5]]
5/4;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[8,-3,-7]]
9/10;1;[[0,0,0],[1,0,0],[0,1,0],[2,4,7],[0,2,1]]
3;3;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[10,-10,1]]
5/3;2;[[0,0,0],[1,0,0],[0,1,0],[3,6,8],[3,7,9]]
6/5;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[1,-9,-1]]
2/3;1;[[0,0,0],[1,0,0],[0,1,0],[3,3,4],[-5,-5,-7]]
