Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
7/9;3/2;[[0,0,0],[1,0,0],[0,1,0],[2,8,18]]
19/9;3;[[0,0,0],[1,0,0],[0,1,0],[0,1,18]]
1/3;4/5;[[0,0,0],[1,0,0],[0,1,0],[8,13,18]]
5/9;1;[[0,0,0],[1,0,0],[0,1,0],[2,5,18]]
1;1;[[0,0,0],[1,0,0],[0,3,0],[4,3,6]]
4/9;1;[[0,0,0],[1,0,0],[0,1,0],[2,14,18]]
7/9;1;[[0,0,0],[1,0,0],[0,1,0],[3,7,18]]
2/3;1;[[0,0,0],[1,0,0],[0,1,0],[15,16,18]]
1/3;2;[[0,0,0],[1,0,0],[0,1,0],[2,1,18]]
1/3;1;[[0,0,0],[1,0,0],[0,1,0],[10,17,18]]
1;5/4;[[0,0,0],[1,0,0],[0,1,0],[6,4,18]]
1;1;[[0,0,0],[1,0,0],[1,3,0],[4,3,6]]
5/3;2;[[0,0,0],[1,0,0],[1,3,0],[1,3,6]]
10/9;2;[[0,0,0],[1,0,0],[0,1,0],[9,1,18]]
5/9;1;[[0,0,0],[1,0,0],[0,1,0],[2,11,18]]
1;1;[[0,0,0],[1,0,0],[2,3,0],[2,3,6]]
5/9;2;[[0,0,0],[2,0,0],[0,1,0],[3,1,9]]
1/3;1;[[0,0,0],[1,0,0],[0,1,0],[4,5,18]]
1/3;1;[[0,0,0],[1,0,0],[0,1,0],[2,7,18]]
7/9;1;[[0,0,0],[1,0,0],[0,1,0],[6,7,18]]
1/3;1;[[0,0,0],[1,0,0],[0,1,0],[2,13,18]]
8/9;1;[[0,0,0],[2,0,0],[0,1,0],[3,4,9]]
5/9;1;[[0,0,0],[1,0,0],[0,1,0],[8,17,18]]
2/9;2;[[0,0,0],[1,0,0],[0,1,0],[1,1,18]]
1;2;[[0,0,0],[3,0,0],[0,1,0],[0,1,6]]
1/3;1;[[0,0,0],[1,0,0],[0,1,0],[4,17,18]]
2/9;2;[[0,0,0],[1,0,0],[0,1,0],[1,5,18]]
4/9;1;[[0,0,0],[1,0,0],[0,1,0],[2,2,18]]
5/3;2;[[0,0,0],[1,0,0],[0,1,0],[9,10,18]]
2/3;1;[[0,0,0],[1,0,0],[0,1,0],[3,4,18]]
7/9;1;[[0,0,0],[1,0,0],[0,1,0],[14,14,18]]
2/3;1;[[0,0,0],[1,0,0],[0,1,0],[5,5,18]]
13/9;2;[[0,0,0],[1,0,0],[0,1,0],[6,13,18]]
7/9;2;[[0,0,0],[1,0,0],[0,1,0],[6,1,18]]
11/9;2;[[0,0,0],[1,0,0],[0,1,0],[2,17,18]]
4/3;2;[[0,0,0],[1,0,0],[0,1,0],[15,4,18]]
1/3;1;[[0,0,0],[1,0,0],[0,1,0],[5,17,18]]
5/9;1;[[0,0,0],[2,0,0],[0,1,0],[3,7,9]]
1/3;1;[[0,0,0],[1,0,0],[0,1,0],[4,11,18]]
1;1;[[0,0,0],[3,0,0],[0,1,0],[0,5,6]]
4/9;1;[[0,0,0],[1,0,0],[0,1,0],[8,8,18]]
4/3;2;[[0,0,0],[1,0,0],[0,1,0],[3,16,18]]
1/3;1;[[0,0,0],[1,0,0],[0,1,0],[17,17,18]]
1/3;1;[[0,0,0],[1,0,0],[0,1,0],[5,11,18]]
1/3;2;[[0,0,0],[1,0,0],[0,1,0],[4,1,18]]
1;1;[[0,0,0],[1,0,0],[0,1,0],[12,16,18]]
2/3;1;[[0,0,0],[1,0,0],[0,1,0],[15,10,18]]
11/9;2;[[0,0,0],[2,0,0],[0,1,0],[0,1,9]]
4/9;1;[[0,0,0],[1,0,0],[0,1,0],[8,14,18]]
1/3;2;[[0,0,0],[1,0,0],[0,1,0],[8,1,18]]
4/3;4/3;[[0,0,0],[1,0,0],[1,3,0],[4,0,6]]
11/9;2;[[0,0,0],[1,0,0],[0,1,0],[8,11,18]]
