Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
40/19;3;[[0,0,0],[1,0,0],[0,1,0],[0,1,19]]
4/19;2;[[0,0,0],[1,0,0],[0,1,0],[1,7,19]]
4/19;1;[[0,0,0],[1,0,0],[0,1,0],[2,5,19]]
4/19;4/5;[[0,0,0],[1,0,0],[0,1,0],[3,6,19]]
4/19;1;[[0,0,0],[1,0,0],[0,1,0],[7,14,19]]
22/19;2;[[0,0,0],[1,0,0],[0,1,0],[8,12,19]]
4/19;1;[[0,0,0],[1,0,0],[0,1,0],[2,6,19]]
4/19;1;[[0,0,0],[1,0,0],[0,1,0],[2,7,19]]
4/19;2;[[0,0,0],[1,0,0],[0,1,0],[1,1,19]]
4/19;1;[[0,0,0],[1,0,0],[0,1,0],[2,2,19]]
4/19;1;[[0,0,0],[1,0,0],[0,1,0],[2,9,19]]
4/19;1;[[0,0,0],[1,0,0],[0,1,0],[2,3,19]]
4/19;1;[[0,0,0],[1,0,0],[0,1,0],[4,4,19]]
4/19;1;[[0,0,0],[1,0,0],[0,1,0],[3,3,19]]
22/19;2;[[0,0,0],[1,0,0],[0,1,0],[4,16,19]]
4/19;2;[[0,0,0],[1,0,0],[0,1,0],[1,3,19]]
4/19;1;[[0,0,0],[1,0,0],[0,1,0],[3,18,19]]
4/19;2;[[0,0,0],[1,0,0],[0,1,0],[1,2,19]]
4/19;1;[[0,0,0],[1,0,0],[0,1,0],[4,8,19]]
4/19;1;[[0,0,0],[1,0,0],[0,1,0],[6,15,19]]
4/19;1;[[0,0,0],[1,0,0],[0,1,0],[2,4,19]]
22/19;2;[[0,0,0],[1,0,0],[0,1,0],[2,18,19]]
4/19;5/6;[[0,0,0],[1,0,0],[0,1,0],[3,5,19]]
4/19;2;[[0,0,0],[1,0,0],[0,1,0],[1,4,19]]
22/19;2;[[0,0,0],[1,0,0],[0,1,0],[3,17,19]]
9/8;3/2;[[0,0,0],[1,0,0],[0,1,0],[3,2,5],[5,0,3]]
11/14;1;[[0,0,0],[1,0,0],[2,3,0],[0,0,1],[-5,-10,-2]]
28/39;1;[[0,0,0],[1,0,0],[0,1,0],[4,1,9],[-3,-1,-10]]
2;2;[[0,0,0],[1,0,0],[0,1,0],[2,6,7],[0,-6,-6]]
11/21;1;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[-12,-6,5]]
5/3;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[-12,-6,1]]
2/3;1;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[-12,-6,10]]
31/45;1;[[0,0,0],[1,0,0],[0,1,0],[1,2,5],[2,-3,-8]]
3/7;1;[[0,0,0],[1,0,0],[2,3,0],[0,0,1],[-7,-13,-1]]
51/154;1;[[0,0,0],[1,0,0],[0,1,0],[2,0,3],[-2,-3,-7]]
5/4;2;[[0,0,0],[1,0,0],[0,3,0],[0,0,1],[-2,-10,1]]
1;1;[[0,0,0],[1,0,0],[0,1,0],[1,0,2],[2,5,-5]]
6/17;1;[[0,0,0],[1,0,0],[0,1,0],[3,3,8],[-4,-4,-11]]
3/4;1;[[0,0,0],[1,0,0],[7,8,0],[0,0,1],[-1,-3,-1]]
7/15;1;[[0,0,0],[1,0,0],[0,1,0],[2,7,9],[2,1,1]]
47/84;1;[[0,0,0],[1,0,0],[0,1,0],[1,3,7],[-1,1,3]]
67/105;1;[[0,0,0],[1,0,0],[0,1,0],[2,0,5],[2,-2,7]]
3/2;2;[[0,0,0],[1,0,0],[0,1,0],[1,1,4],[4,1,1]]
97/210;1;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[4,-11,-7]]
2;2;[[0,0,0],[4,0,0],[0,1,0],[1,1,2],[6,1,1]]
16/35;1;[[0,0,0],[1,0,0],[0,1,0],[3,5,13],[1,3,5]]
8/7;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[14,-5,-13]]
19/17;2;[[0,0,0],[1,0,0],[0,1,0],[2,11,13],[1,-2,-2]]
7/5;2;[[0,0,0],[1,0,0],[0,1,0],[2,1,5],[4,1,3]]
14/15;1;[[0,0,0],[1,0,0],[0,1,0],[2,2,4],[4,3,3]]
2/3;1;[[0,0,0],[1,0,0],[3,8,0],[0,0,1],[0,1,-1]]
9/8;2;[[0,0,0],[1,0,0],[0,1,0],[1,6,11],[1,-3,-5]]
3/2;2;[[0,0,0],[2,0,0],[0,1,0],[1,1,4],[3,1,1]]
9/13;1;[[0,0,0],[1,0,0],[0,1,0],[2,4,13],[1,0,-1]]
9/11;1;[[0,0,0],[1,0,0],[0,1,0],[7,6,11],[3,2,3]]
62/105;1;[[0,0,0],[1,0,0],[0,1,0],[13,11,14],[2,1,1]]
6/17;1;[[0,0,0],[1,0,0],[0,1,0],[1,4,5],[-1,-7,-7]]
2/3;1;[[0,0,0],[1,0,0],[0,1,0],[3,6,7],[2,3,2]]
3/4;1;[[0,0,0],[1,0,0],[0,1,0],[2,2,7],[2,2,3]]
13/18;1;[[0,0,0],[1,0,0],[0,1,0],[2,8,13],[0,2,1]]
3/2;2;[[0,0,0],[1,0,0],[0,1,0],[4,4,7],[0,4,3]]
19/17;2;[[0,0,0],[1,0,0],[0,1,0],[1,2,3],[5,-6,-2]]
17/30;1;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[3,-13,-5]]
4/5;1;[[0,0,0],[1,0,0],[2,5,0],[0,0,1],[4,1,-1]]
7/6;2;[[0,0,0],[1,0,0],[0,1,0],[1,4,5],[1,-7,-7]]
3;3;[[0,0,0],[1,0,0],[1,2,0],[0,0,1],[0,-17,1]]
7/8;1;[[0,0,0],[1,0,0],[0,1,0],[14,13,15],[2,1,1]]
19/17;2;[[0,0,0],[1,0,0],[0,1,0],[1,14,15],[1,-2,-2]]
4/5;1;[[0,0,0],[1,0,0],[0,1,0],[11,10,13],[2,1,1]]
11/9;2;[[0,0,0],[1,0,0],[0,1,0],[2,1,9],[2,1,4]]
22/15;2;[[0,0,0],[1,0,0],[0,1,0],[8,6,13],[2,3,4]]
13/14;1;[[0,0,0],[1,0,0],[0,1,0],[6,4,7],[2,4,3]]
32/21;2;[[0,0,0],[1,0,0],[0,1,0],[5,10,14],[5,11,15]]
9/26;1;[[0,0,0],[1,0,0],[0,1,0],[7,3,8],[-9,-4,-11]]
3/5;5/6;[[0,0,0],[1,0,0],[0,1,0],[3,0,5],[5,-2,3]]
20/39;1;[[0,0,0],[1,0,0],[2,5,0],[0,0,1],[-1,-9,-1]]
3/5;1;[[0,0,0],[1,0,0],[0,1,0],[6,4,7],[3,1,1]]
6/5;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[10,-9,-9]]
111/85;2;[[0,0,0],[1,0,0],[0,1,0],[2,8,9],[-2,-7,-10]]
7/6;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[12,-7,-11]]
3;3;[[0,0,0],[1,0,0],[1,8,0],[0,0,1],[0,-11,1]]
17/15;2;[[0,0,0],[1,0,0],[0,1,0],[1,11,13],[1,-2,-2]]
6/11;1;[[0,0,0],[1,0,0],[0,1,0],[10,5,11],[2,1,1]]
14/9;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[3,-18,16]]
3/2;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[-18,15,4]]
8/5;2;[[0,0,0],[1,0,0],[0,1,0],[6,6,11],[-4,-3,-8]]
8/17;1;[[0,0,0],[1,0,0],[0,1,0],[2,0,3],[-4,-3,-7]]
7/11;1;[[0,0,0],[1,0,0],[0,1,0],[2,2,9],[-2,-1,-10]]
46/65;1;[[0,0,0],[1,0,0],[0,1,0],[7,6,11],[-2,-3,-5]]
15/13;2;[[0,0,0],[1,0,0],[0,1,0],[1,3,5],[1,-6,-8]]
9/7;2;[[0,0,0],[1,0,0],[4,5,0],[0,0,1],[-4,-2,1]]
1;1;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[-14,12,-4]]
32/99;1;[[0,0,0],[1,0,0],[0,1,0],[7,1,9],[-7,-1,-10]]
7/8;1;[[0,0,0],[1,0,0],[0,1,0],[6,6,9],[11,10,16]]
8/17;1;[[0,0,0],[1,0,0],[2,3,0],[0,0,1],[-8,-13,-1]]
72/55;2;[[0,0,0],[1,0,0],[0,1,0],[8,2,9],[-8,-1,-10]]
13/15;1;[[0,0,0],[1,0,0],[0,1,0],[2,2,11],[1,0,-2]]
7/6;5/4;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[-18,6,4]]
11/13;1;[[0,0,0],[1,0,0],[0,1,0],[3,3,11],[-2,-1,-8]]
2/3;1;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[-9,-9,4]]
4/7;1;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[-9,-9,7]]
2;2;[[0,0,0],[1,0,0],[0,1,0],[0,0,1],[-9,-9,1]]
