Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
5/12;1/2;[[0,0],[1,0],[2,3],[1,4],[-2,1],[-3,2]]
2/3;2/3;[[0,0],[1,0],[0,1],[8,2],[7,3],[11,3]]
3/7;2/3;[[0,0],[1,0],[1,7],[3,9],[3,8]]
12/49;1/2;[[0,0],[1,0],[8,11],[-6,-9],[-5,-7]]
3/7;2/3;[[0,0],[1,0],[1,7],[3,11],[3,10]]
1/2;1/2;[[0,0],[1,0],[3,8],[1,4],[-1,-5],[2,7],[3,6]]
1/2;1/2;[[0,0],[1,0],[0,2],[-6,9],[-9,14]]
7/15;2/3;[[0,0],[1,0],[2,10],[3,10],[3,13]]
2;2;[[0,0],[5,0],[0,1],[-18,1]]
2/5;1/2;[[0,0],[2,0],[0,1],[4,-3],[1,-3],[5,-5]]
2/3;2/3;[[0,0],[2,0],[1,3],[4,1],[6,3]]
2/3;2/3;[[0,0],[1,0],[2,3],[3,7],[0,2],[1,6],[3,8]]
7/15;2/3;[[0,0],[1,0],[1,5],[-1,-8],[0,-6],[2,7],[-1,-9]]
7/15;2/3;[[0,0],[1,0],[3,7],[-2,-6],[-2,-8],[-4,-13]]
7/15;2/3;[[0,0],[1,0],[0,5],[-1,4],[2,2],[2,5]]
2/5;1/2;[[0,0],[1,0],[0,1],[6,3],[6,5],[4,4]]
2/3;2/3;[[0,0],[2,0],[1,3],[4,3],[-1,2],[-2,1]]
3/8;3/7;[[0,0],[1,0],[3,5],[3,7],[4,8],[-1,1]]
1/2;1/2;[[0,0],[1,0],[3,4],[1,3],[4,2],[6,4]]
7/15;2/3;[[0,0],[1,0],[0,5],[2,6],[2,7],[-1,3]]
4/9;2/3;[[0,0],[1,0],[5,6],[6,6],[3,5],[1,3]]
4/9;1/2;[[0,0],[1,0],[2,5],[4,5],[4,9]]
2/3;2/3;[[0,0],[2,0],[0,1],[-5,1],[-9,3],[-6,3]]
13/40;3/7;[[0,0],[1,0],[1,4],[4,11],[-1,-7]]
4/9;2/3;[[0,0],[1,0],[0,6],[-1,6],[2,3],[2,4]]
2/3;2/3;[[0,0],[1,0],[0,1],[-6,1],[-8,3],[-6,3]]
17/39;2/3;[[0,0],[1,0],[3,13],[3,8]]
2/3;2/3;[[0,0],[1,0],[6,7],[5,6],[-6,-8],[6,6],[-7,-9]]
1/2;2/3;[[0,0],[2,0],[1,2],[-5,1],[-1,3]]
2/3;2/3;[[0,0],[1,0],[2,4],[1,3],[4,3],[6,6]]
2/5;1/2;[[0,0],[2,0],[2,4],[1,3],[3,2],[0,-3],[-1,-4]]
1/2;1/2;[[0,0],[1,0],[3,6],[0,-1],[5,7],[1,4]]
2/3;2/3;[[0,0],[1,0],[0,2],[4,3],[6,3],[-3,1]]
1/2;1/2;[[0,0],[4,0],[0,1],[-8,2],[5,-1],[-9,2],[11,-2]]
5/8;1;[[0,0],[1,0],[1,8],[2,10],[2,3]]
1/3;1/2;[[0,0],[1,0],[1,3],[6,14],[-1,-5]]
2/3;2/3;[[0,0],[1,0],[0,1],[3,3],[1,4],[3,8]]
5/11;2/3;[[0,0],[1,0],[2,3],[-6,1]]
1/2;2/3;[[0,0],[1,0],[1,2],[0,-7],[-2,-5]]
1/2;2/3;[[0,0],[1,0],[1,4],[3,7],[3,3],[2,7]]
5/13;1/2;[[0,0],[1,0],[5,8],[6,9],[4,4],[6,7]]
1/2;1/2;[[0,0],[1,0],[1,3],[4,4],[2,4],[4,1]]
1;1;[[0,0],[4,0],[1,2],[7,2],[7,1]]
2/3;2/3;[[0,0],[1,0],[2,3],[-1,1],[2,6],[-1,3]]
7/20;1/2;[[0,0],[1,0],[4,13],[-1,-7],[4,12]]
2/5;1/2;[[0,0],[1,0],[4,11],[5,13],[3,5],[2,2]]
1/4;2/3;[[0,0],[1,0],[8,15],[2,1]]
3/5;1;[[0,0],[10,0],[0,1],[8,-1],[5,-1]]
2/5;1/2;[[0,0],[1,0],[2,3],[5,3],[4,1],[5,5]]
2/3;2/3;[[0,0],[1,0],[0,2],[2,10],[3,12],[3,13]]
3/7;1/2;[[0,0],[1,0],[4,14],[5,16],[5,17]]
1/2;1/2;[[0,0],[1,0],[0,1],[-6,2],[-8,4],[-6,4]]
5/13;1/2;[[0,0],[1,0],[3,10],[4,10],[4,13]]
1/2;2/3;[[0,0],[1,0],[6,7],[-6,-8],[-2,-4],[-5,-6]]
9/20;1/2;[[0,0],[1,0],[2,5],[4,3],[5,5]]
4/9;2/3;[[0,0],[1,0],[1,6],[2,6],[0,-5],[-1,-7],[-1,-8]]
4/9;2/3;[[0,0],[1,0],[2,12],[3,14],[3,15]]
2/5;1/2;[[0,0],[1,0],[2,4],[-1,3],[1,5],[-2,1]]
2/3;2/3;[[0,0],[1,0],[8,9],[-7,-9],[-6,-8],[9,10],[6,6]]
2/3;2/3;[[0,0],[2,0],[1,2],[2,-1],[-1,-3],[0,-5],[-1,-5]]
4/9;1/2;[[0,0],[1,0],[2,3],[5,3],[5,4],[-2,1]]
1/2;2/3;[[0,0],[1,0],[0,1],[1,-7],[2,-4],[3,-9]]
1/2;1/2;[[0,0],[2,0],[1,4],[-1,3],[-1,4],[3,2]]
1;1;[[0,0],[9,0],[0,1],[6,-1],[-1,1],[2,-1]]
11/42;2/3;[[0,0],[1,0],[2,11],[0,-6],[-1,-9]]
1/2;2/3;[[0,0],[1,0],[3,6],[2,8],[3,11]]
1/2;1/2;[[0,0],[1,0],[1,2],[-3,2],[-3,1],[-1,4],[0,4]]
1;1;[[0,0],[10,0],[0,1],[7,-1],[-1,1],[5,-1]]
7/15;2/3;[[0,0],[5,0],[0,1],[6,-1],[-9,2],[-11,2]]
1/2;1/2;[[0,0],[3,0],[0,1],[2,-1],[4,2],[2,3],[4,4]]
2/3;2/3;[[0,0],[1,0],[0,3],[-2,2],[-4,7],[-4,6]]
1/2;2/3;[[0,0],[1,0],[0,4],[-2,5],[-1,6],[-2,1]]
2/5;1/2;[[0,0],[1,0],[0,5],[-2,5],[2,3]]
4/9;1/2;[[0,0],[1,0],[1,2],[6,2],[6,4],[3,3]]
2/5;1/2;[[0,0],[1,0],[5,9],[2,1],[5,6]]
5/14;1/2;[[0,0],[1,0],[8,11],[11,14]]
22/91;2/3;[[0,0],[1,0],[10,11],[-7,-9],[7,7]]
7/16;2/3;[[0,0],[1,0],[10,11],[-7,-9],[-4,-6]]
9/20;1/2;[[0,0],[1,0],[8,11],[4,3]]
2/7;2/3;[[0,0],[5,0],[0,1],[8,2],[3,-1]]
1/3;1/2;[[0,0],[1,0],[3,7],[5,9],[3,3]]
3/7;2/3;[[0,0],[1,0],[18,20],[19,21]]
1/2;1/2;[[0,0],[1,0],[2,3],[6,3],[7,4],[3,4]]
1/2;1/2;[[0,0],[1,0],[3,5],[2,6],[4,8],[4,11]]
2/3;2/3;[[0,0],[1,0],[3,7],[3,4],[5,9],[5,11]]
3/7;2/3;[[0,0],[7,0],[0,1],[2,-2],[1,-2]]
9/20;1/2;[[0,0],[1,0],[2,5],[-2,-10],[-3,-16]]
7/15;2/3;[[0,0],[1,0],[1,5],[3,7],[2,1],[3,4]]
5/12;1/2;[[0,0],[1,0],[4,7],[7,10],[5,6]]
3/7;1/2;[[0,0],[1,0],[3,10],[4,12],[4,13],[2,2]]
2/3;2/3;[[0,0],[1,0],[0,1],[2,-6],[3,-6],[1,-5],[3,-3]]
7/17;2/3;[[0,0],[1,0],[10,14],[-1,-3],[11,16]]
2/5;1/2;[[0,0],[1,0],[0,3],[-4,3],[-2,5]]
2/3;2/3;[[0,0],[1,0],[1,2],[6,3],[5,3],[6,1]]
1/2;1/2;[[0,0],[1,0],[0,1],[3,-8],[3,-5],[4,-9],[4,-8],[1,-4]]
5/8;1;[[0,0],[1,0],[1,8],[2,11],[2,4]]
3/7;2/3;[[0,0],[1,0],[0,3],[-3,10],[4,-11]]
1;1;[[0,0],[1,0],[0,2],[-7,2],[-7,1]]
4/9;1/2;[[0,0],[1,0],[1,2],[-3,-7],[-1,-7]]
1/2;1/2;[[0,0],[2,0],[1,2],[5,1],[5,4]]
1/2;1/2;[[0,0],[1,0],[0,1],[-5,1],[-2,2],[-8,4]]
2/3;2/3;[[0,0],[2,0],[2,3],[3,3],[-4,1]]
2/3;2/3;[[0,0],[1,0],[0,2],[1,-6],[2,-3],[3,-8],[3,-7]]
1;1;[[0,0],[2,0],[0,1],[-9,1],[-11,2],[-8,2]]
1/2;1/2;[[0,0],[4,0],[0,2],[4,1],[-1,1],[-1,2],[3,-2]]
13/35;1/2;[[0,0],[1,0],[5,7],[5,3]]
3/7;1/2;[[0,0],[1,0],[3,5],[5,8],[4,4],[7,10]]
2;2;[[0,0],[9,0],[0,1],[-14,1]]
7/15;2/3;[[0,0],[1,0],[4,5],[4,2],[7,5]]
2/3;2/3;[[0,0],[1,0],[0,1],[-10,3],[-10,2],[-12,3]]
2/3;2/3;[[0,0],[2,0],[1,2],[-2,3],[-4,1],[0,3]]
1/2;1/2;[[0,0],[1,0],[2,3],[5,4],[6,4],[-2,1]]
2/5;1/2;[[0,0],[1,0],[1,2],[5,7],[5,5],[4,7]]
2/3;2/3;[[0,0],[1,0],[0,3],[-1,3],[6,-17]]
1;1;[[0,0],[1,0],[0,1],[-8,1],[-9,2],[-3,2]]
7/20;1/2;[[0,0],[1,0],[6,19],[2,3]]
1/2;1/2;[[0,0],[1,0],[4,7],[2,1],[2,5],[4,4]]
4/9;2/3;[[0,0],[1,0],[1,6],[2,6],[0,5],[-1,2],[-1,3]]
9/14;1;[[0,0],[1,0],[1,7],[2,10],[2,1]]
2/5;1/2;[[0,0],[2,0],[1,5],[3,3],[4,1]]
1/2;1/2;[[0,0],[1,0],[3,4],[5,5],[4,5],[5,2]]
1/2;1/2;[[0,0],[1,0],[1,2],[4,1],[4,5],[3,5]]
2/9;1/2;[[0,0],[1,0],[3,8],[5,11],[4,7]]
1;1;[[0,0],[1,0],[0,1],[1,2],[11,2]]
7/15;2/3;[[0,0],[1,0],[5,6],[6,7],[6,4]]
4/9;1/2;[[0,0],[1,0],[2,6],[4,9],[4,8],[-1,-5]]
3/5;1;[[0,0],[10,0],[0,1],[6,-1],[3,-1]]
9/23;1/2;[[0,0],[1,0],[5,8],[6,8],[3,3],[-2,-4],[-3,-5]]
1;1;[[0,0],[3,0],[0,1],[-7,1],[-11,2],[-5,2]]
4/9;2/3;[[0,0],[1,0],[7,8],[6,6],[2,3],[7,9],[6,8]]
1;1;[[0,0],[1,0],[0,1],[-8,1],[-10,2],[-4,2]]
7/15;2/3;[[0,0],[1,0],[1,6],[2,8],[2,7],[0,-5],[-1,-8]]
17/52;1/2;[[0,0],[1,0],[9,13],[6,7],[4,4]]
2/5;1/2;[[0,0],[1,0],[2,3],[-2,1],[0,5]]
2/3;2/3;[[0,0],[3,0],[0,1],[4,1],[5,3],[1,3]]
16/63;2/3;[[0,0],[1,0],[5,9],[4,9],[-2,-5]]
5/12;1/2;[[0,0],[1,0],[5,8],[8,11],[7,9]]
4/11;1/2;[[0,0],[1,0],[16,19],[2,1]]
2/5;1/2;[[0,0],[1,0],[0,1],[3,5],[5,5],[1,4]]
2/5;2/3;[[0,0],[1,0],[7,11],[8,13],[-4,-9]]
1/2;2/3;[[0,0],[1,0],[2,4],[1,6],[-1,2],[2,7]]
2/3;2/3;[[0,0],[1,0],[3,4],[5,3],[4,5],[7,5]]
1/2;2/3;[[0,0],[1,0],[0,1],[7,-7],[2,-3],[5,-7]]
4/9;2/3;[[0,0],[1,0],[2,9],[3,9],[2,3],[3,7]]
11/34;1/2;[[0,0],[1,0],[7,8],[-11,-15]]
5/12;2/3;[[0,0],[3,0],[0,1],[2,-5],[1,-5]]
7/20;1/2;[[0,0],[1,0],[0,4],[-2,9],[3,-11]]
1/2;1/2;[[0,0],[1,0],[0,1],[1,5],[2,2],[4,8]]
1/2;1/2;[[0,0],[2,0],[2,3],[3,3],[-1,-2],[-1,-4],[0,-4]]
5/18;1/2;[[0,0],[1,0],[4,13],[-2,-8],[-2,-7]]
4/9;1/2;[[0,0],[1,0],[0,1],[-10,5],[-10,4],[-12,5]]
2/3;2/3;[[0,0],[1,0],[5,7],[-5,-8],[-5,-9],[-4,-6]]
2/5;1/2;[[0,0],[1,0],[4,6],[4,5],[1,4],[2,6]]
2/5;1/2;[[0,0],[1,0],[0,3],[-3,2],[-4,5],[-4,4]]
11/18;1;[[0,0],[1,0],[12,13],[17,18]]
2/3;2/3;[[0,0],[1,0],[0,1],[2,2],[3,5],[2,7],[3,9]]
1/2;1/2;[[0,0],[1,0],[8,11],[10,13],[2,1]]
4/9;2/3;[[0,0],[1,0],[2,7],[0,5],[-1,1],[-1,2]]
6/17;1/2;[[0,0],[5,0],[1,3],[5,-1],[2,3]]
1/2;2/3;[[0,0],[1,0],[1,4],[2,1],[3,8],[3,3]]
2/3;2/3;[[0,0],[1,0],[0,3],[-2,6],[4,-10],[4,-11]]
2;2;[[0,0],[7,0],[0,1],[-16,1]]
2/3;2/3;[[0,0],[2,0],[2,5],[0,-1],[1,5],[3,3],[3,2]]
2/3;2/3;[[0,0],[1,0],[5,6],[7,8],[3,1],[4,2]]
