Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
1/3;1/3;[[0,0],[1,0],[2,3],[9,11],[10,14],[14,18],[16,22],[18,24]]
2/5;2/3;[[0,0],[1,0],[1,13],[2,15],[2,12],[0,-10],[-1,-16]]
2/3;2/3;[[0,0],[1,0],[0,2],[-11,2],[-11,1],[-7,3],[-4,3]]
2/5;2/5;[[0,0],[1,0],[3,11],[4,9],[6,16],[6,20]]
1/3;2/5;[[0,0],[2,0],[0,1],[6,6],[4,7],[9,12]]
2/5;2/5;[[0,0],[1,0],[2,4],[-2,6],[-3,2],[-3,3],[2,5],[-1,7],[1,6]]
3/8;3/8;[[0,0],[1,0],[2,8],[0,3],[1,6],[4,6],[6,12]]
1/2;1/2;[[0,0],[3,0],[0,2],[-8,2],[-8,1],[-2,3],[-6,4],[-5,4]]
14/55;2/5;[[0,0],[1,0],[3,5],[-2,4],[-4,1],[-6,2]]
1/3;1/3;[[0,0],[1,0],[0,1],[8,3],[12,6],[9,6],[4,4]]
2/5;2/5;[[0,0],[1,0],[1,5],[4,5],[-3,1],[-2,4],[-4,3]]
2/7;1/3;[[0,0],[1,0],[4,9],[-6,-14],[-4,-12],[9,20]]
5/18;1/3;[[0,0],[4,0],[1,2],[-1,-3],[3,3],[2,-3],[1,-4],[6,4]]
1/3;1/3;[[0,0],[1,0],[6,9],[-9,-15],[7,11],[-3,-7],[-9,-17]]
1/3;1/3;[[0,0],[2,0],[1,2],[7,9],[-5,-11],[8,10]]
46/123;2/3;[[0,0],[1,0],[9,25],[-7,-24]]
1/4;1/3;[[0,0],[1,0],[4,17],[2,3],[6,23],[4,11]]
1/3;1/3;[[0,0],[1,0],[2,3],[4,5],[10,7],[11,6],[12,7]]
9/16;1;[[0,0],[1,0],[1,16],[2,20],[2,3]]
4/13;1/3;[[0,0],[4,0],[0,3],[-1,3],[5,-1],[5,-5],[4,-6]]
13/59;1/3;[[0,0],[1,0],[7,17],[7,14],[5,9],[10,23],[10,24]]
2/3;2/3;[[0,0],[1,0],[0,1],[-10,3],[-16,2],[-20,3]]
2/3;2/3;[[0,0],[1,0],[12,18],[15,21],[18,26],[19,28]]
1/4;2/7;[[0,0],[2,0],[0,1],[11,15],[12,17]]
1/2;1/2;[[0,0],[1,0],[8,11],[-1,-3],[-4,-7],[13,20],[3,5],[13,19],[16,24]]
1/4;1/3;[[0,0],[1,0],[6,11],[6,14],[2,8]]
5/19;2/5;[[0,0],[1,0],[4,8],[1,7],[2,10],[5,13],[5,12]]
2/5;2/5;[[0,0],[1,0],[6,12],[8,19],[-1,-4],[1,3],[6,15],[3,8],[9,20]]
2/5;2/5;[[0,0],[1,0],[9,11],[-6,-9],[7,10],[7,8],[15,21]]
2/5;2/5;[[0,0],[1,0],[1,2],[-1,7],[-3,1],[0,7],[-4,4],[-4,3]]
3/10;1/2;[[0,0],[1,0],[1,10],[2,13],[2,4],[4,17],[4,16]]
1/2;1/2;[[0,0],[1,0],[0,1],[9,-11],[6,-9],[9,-9],[4,-7]]
1/4;1/3;[[0,0],[1,0],[14,24],[-2,-5],[17,28]]
1/2;1/2;[[0,0],[1,0],[3,9],[0,1],[1,7],[4,14],[2,12],[3,16],[4,19]]
1/2;1/2;[[0,0],[1,0],[0,1],[2,2],[12,4],[7,1],[10,2],[7,4]]
1/3;2/5;[[0,0],[1,0],[7,12],[10,15],[2,1],[10,17],[4,4],[7,9]]
20/97;1/3;[[0,0],[1,0],[12,15],[3,4],[7,9],[14,16],[-8,-11]]
23/105;1/3;[[0,0],[5,0],[0,2],[-7,2],[-3,3],[11,-3],[12,-3]]
4/15;2/5;[[0,0],[1,0],[0,1],[10,8],[10,7],[7,7],[2,4],[3,5]]
11/38;1/2;[[0,0],[1,0],[8,23],[-5,-18],[-4,-16],[-6,-22]]
1/2;1/2;[[0,0],[1,0],[6,7],[15,16],[14,16],[13,15],[-10,-12],[-11,-13]]
17/45;2/3;[[0,0],[1,0],[0,15],[-1,11],[-2,24],[-2,25]]
1/3;2/5;[[0,0],[1,0],[0,1],[-2,1],[-7,7],[-7,5],[-19,15]]
1/3;1/3;[[0,0],[1,0],[0,1],[-14,10],[-26,19],[-28,21]]
3/10;2/5;[[0,0],[1,0],[2,5],[6,8],[3,6],[5,3],[7,8],[7,6]]
11/45;2/5;[[0,0],[5,0],[3,5],[3,-4],[5,-2]]
1/2;1/2;[[0,0],[1,0],[2,10],[-1,-17],[3,23],[3,21],[-1,-19]]
9/28;1/2;[[0,0],[1,0],[1,9],[2,10],[3,8],[3,9],[2,2],[0,7],[-1,2]]
2/5;2/5;[[0,0],[2,0],[0,1],[-18,8],[-17,7],[-13,5],[-17,8],[-9,5],[-14,7]]
2/5;2/5;[[0,0],[1,0],[2,5],[4,5],[-2,3],[6,3],[-1,4]]
5/16;1/2;[[0,0],[2,0],[3,8],[0,8],[-1,3],[-1,4]]
2/9;1/3;[[0,0],[2,0],[5,11],[-1,-7],[0,-5],[5,8],[6,11]]
1/5;1/3;[[0,0],[1,0],[7,22],[-5,-19],[6,18],[-5,-20]]
