Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
7/15;2/3;[[0,0],[1,0],[3,4],[4,2],[8,8],[7,8]]
2/5;3/7;[[0,0],[1,0],[2,5],[0,4],[4,4],[-1,3],[4,5]]
4/9;1/2;[[0,0],[1,0],[0,3],[-3,1],[-3,5],[-1,5],[-2,6]]
1/2;1/2;[[0,0],[2,0],[3,5],[-1,-2],[-1,-6],[-2,-6]]
2/3;2/3;[[0,0],[1,0],[2,8],[-1,-8],[2,9],[1,7],[-1,-9],[0,-7]]
2/3;2/3;[[0,0],[2,0],[0,1],[-8,1],[-12,3],[-10,3]]
7/15;2/3;[[0,0],[1,0],[0,2],[1,-9],[2,-5],[3,-11]]
1/2;1/2;[[0,0],[3,0],[0,1],[5,2],[4,5],[5,5]]
3/7;2/3;[[0,0],[1,0],[3,14],[3,8],[2,2]]
2/5;2/5;[[0,0],[1,0],[0,1],[-5,1],[-11,5],[-10,5]]
4/9;2/3;[[0,0],[6,0],[0,2],[6,1],[2,-1],[-3,2]]
13/22;1;[[0,0],[11,0],[0,1],[10,-1],[2,-1]]
4/9;2/3;[[0,0],[1,0],[2,8],[1,6],[3,9],[2,1],[3,5]]
2/3;2/3;[[0,0],[1,0],[1,2],[5,3],[5,1],[11,3]]
2/3;2/3;[[0,0],[1,0],[2,8],[2,9],[1,7],[0,-7],[-1,-9],[-1,-10]]
8/25;2/5;[[0,0],[1,0],[8,13],[9,13],[3,3],[10,15]]
2/3;2/3;[[0,0],[1,0],[2,5],[-1,1],[2,9],[-1,3]]
1/3;1/2;[[0,0],[1,0],[5,6],[6,6],[-12,-15],[-13,-16]]
19/91;1/2;[[0,0],[1,0],[13,14],[-13,-16]]
2/3;2/3;[[0,0],[1,0],[1,2],[0,7],[-2,7],[-1,1],[-2,5]]
8/25;2/5;[[0,0],[1,0],[3,13],[-2,-15],[3,12]]
2/5;2/5;[[0,0],[5,0],[0,2],[3,-3],[2,-3],[-1,2]]
4/9;2/3;[[0,0],[1,0],[10,12],[16,18]]
3/7;3/7;[[0,0],[1,0],[0,1],[3,5],[5,11],[4,11],[5,13]]
2/3;2/3;[[0,0],[1,0],[0,1],[12,3],[10,2],[7,3]]
4/9;1/2;[[0,0],[1,0],[7,8],[8,9],[4,1]]
2/5;1/2;[[0,0],[1,0],[2,5],[4,2],[4,8]]
1/2;1/2;[[0,0],[1,0],[5,7],[0,-1],[2,5],[5,5],[1,4]]
3/7;2/3;[[0,0],[1,0],[0,7],[-1,5],[1,7],[2,3],[2,5]]
4/29;2/3;[[0,0],[2,0],[1,7],[-1,-8]]
1/2;1/2;[[0,0],[1,0],[0,1],[6,4],[7,5],[2,4],[3,5]]
1;1;[[0,0],[3,0],[0,2],[-7,1],[-10,2]]
1/2;1/2;[[0,0],[1,0],[2,4],[-2,4],[-3,1]]
9/25;3/7;[[0,0],[2,0],[1,4],[4,5],[-2,1]]
7/15;2/3;[[0,0],[1,0],[0,9],[1,-2],[-1,4],[-2,9]]
5/12;1/2;[[0,0],[2,0],[1,2],[2,2],[-2,-6],[0,-6]]
1;1;[[0,0],[1,0],[1,3],[-1,9],[-1,12],[0,12]]
13/40;2/5;[[0,0],[5,0],[1,2],[5,-2],[4,2],[2,3],[3,3]]
4/9;2/3;[[0,0],[1,0],[1,8],[2,7],[2,9],[-1,4]]
1/3;3/7;[[0,0],[1,0],[3,4],[10,12],[5,5],[-8,-11]]
2/5;2/5;[[0,0],[2,0],[1,2],[-4,3],[-2,5],[-1,5]]
3/7;1/2;[[0,0],[2,0],[0,1],[4,-3],[9,-6],[7,-3],[7,-5],[10,-6]]
4/9;2/3;[[0,0],[1,0],[3,10],[2,12],[3,14]]
2/7;3/7;[[0,0],[1,0],[3,5],[-4,-11],[6,13],[-4,-12]]
2/5;1/2;[[0,0],[2,0],[1,2],[7,2],[5,4],[2,3]]
5/13;1/2;[[0,0],[1,0],[0,3],[-4,12],[4,-11],[-5,14]]
2/5;3/7;[[0,0],[4,0],[1,3],[-1,1],[-1,2],[3,2],[3,-2],[2,3]]
1/3;2/5;[[0,0],[1,0],[5,8],[7,11],[7,8]]
1/2;1/2;[[0,0],[1,0],[2,3],[6,4],[5,4],[6,1]]
1/3;1/2;[[0,0],[1,0],[4,9],[3,3],[6,9]]
7/26;3/7;[[0,0],[6,0],[0,1],[26,-4]]
5/12;1/2;[[0,0],[1,0],[4,9],[3,3],[7,15]]
1/2;1/2;[[0,0],[1,0],[3,4],[6,3],[4,5],[8,5]]
1/3;1/2;[[0,0],[1,0],[1,6],[2,2],[0,5],[-1,2],[3,6]]
3/7;1/2;[[0,0],[1,0],[0,2],[-5,3],[-5,1],[-1,3],[-4,4]]
4/9;2/3;[[0,0],[6,0],[0,2],[1,2],[-5,1],[8,-1]]
4/9;1/2;[[0,0],[2,0],[1,4],[0,2],[1,-2],[3,6],[4,6]]
3/7;1/2;[[0,0],[1,0],[2,4],[4,5],[0,1],[3,1],[6,5],[5,3]]
3/8;1/2;[[0,0],[1,0],[0,1],[-9,6],[-13,8],[-5,2]]
1/2;1/2;[[0,0],[2,0],[0,3],[3,-6],[3,-2],[4,-6],[-1,4],[4,-5]]
2/5;3/7;[[0,0],[1,0],[3,8],[5,10],[5,12],[2,1]]
1/3;2/5;[[0,0],[1,0],[0,5],[-2,10],[3,-13],[-2,9]]
3/7;2/3;[[0,0],[1,0],[0,7],[-2,9],[-1,1],[-2,7]]
1/2;1/2;[[0,0],[2,0],[1,4],[3,3],[2,4],[-3,2]]
1/2;1/2;[[0,0],[2,0],[0,1],[1,5],[3,1],[4,5],[4,4]]
2/5;1/2;[[0,0],[1,0],[9,10],[-7,-9],[9,11],[8,10]]
1/3;1/2;[[0,0],[1,0],[0,5],[2,6],[-2,1],[-2,3]]
1/2;1/2;[[0,0],[1,0],[0,4],[-5,3],[-6,4]]
1/2;1/2;[[0,0],[1,0],[5,8],[2,1],[8,11],[5,5]]
2/3;2/3;[[0,0],[2,0],[2,3],[6,3],[-2,1],[-2,2]]
2/5;2/5;[[0,0],[1,0],[4,10],[-1,-5],[7,17],[7,16]]
1/3;3/7;[[0,0],[2,0],[0,3],[-2,3],[5,-7],[-3,5]]
1/3;1/2;[[0,0],[6,0],[0,1],[4,-3],[2,-3]]
11/34;1/2;[[0,0],[4,0],[1,4],[4,-1],[2,6]]
7/15;2/3;[[0,0],[1,0],[0,2],[-9,1],[-1,3]]
1/2;1/2;[[0,0],[2,0],[1,2],[5,1],[5,5],[4,5]]
1/2;1/2;[[0,0],[1,0],[2,3],[-2,-8],[-1,-2],[-4,-11],[-4,-13],[-5,-15]]
2/5;3/7;[[0,0],[2,0],[0,1],[-4,1],[-5,3],[-9,3],[-11,5]]
50/351;1/2;[[0,0],[1,0],[4,13],[-5,-17]]
10/29;3/7;[[0,0],[1,0],[7,11],[-7,-13],[-5,-10],[9,14]]
10/39;3/7;[[0,0],[3,0],[3,4],[1,-3],[4,2],[5,5]]
5/21;1/2;[[0,0],[1,0],[6,9],[5,9],[-4,-8],[-6,-11]]
1/3;1/2;[[0,0],[1,0],[7,12],[4,5],[9,14],[11,18]]
2/3;2/3;[[0,0],[2,0],[1,2],[2,-1],[-1,-4],[0,-7],[-1,-7]]
4/11;1/2;[[0,0],[1,0],[8,10],[-1,-2],[7,10],[6,6]]
11/27;2/3;[[0,0],[1,0],[7,8],[9,9],[-8,-10],[-9,-11]]
3/7;1/2;[[0,0],[2,0],[1,5],[3,3],[-1,3],[-1,5]]
1/2;1/2;[[0,0],[2,0],[1,3],[3,4],[5,4],[5,1]]
3/10;2/5;[[0,0],[4,0],[0,2],[5,3],[3,-2]]
2/3;2/3;[[0,0],[4,0],[1,2],[-3,3],[-2,3],[-5,1]]
1/2;1/2;[[0,0],[1,0],[0,1],[-6,4],[-9,3],[-11,4]]
4/7;1;[[0,0],[2,0],[1,6],[2,-9]]
2/5;2/5;[[0,0],[1,0],[2,5],[3,5],[-2,1],[-2,3]]
2/3;2/3;[[0,0],[1,0],[3,7],[4,7],[-2,-5],[-2,-6],[6,13],[6,12]]
11/27;2/3;[[0,0],[1,0],[12,13],[-9,-11],[-8,-10],[9,9]]
4/11;1/2;[[0,0],[1,0],[8,10],[-4,-7],[11,15],[14,19]]
1/2;2/3;[[0,0],[1,0],[0,1],[2,4],[10,12]]
14/33;2/3;[[0,0],[1,0],[2,11],[3,10],[2,4],[3,15]]
1/2;1/2;[[0,0],[1,0],[5,8],[2,1],[8,11],[8,10]]
1;1;[[0,0],[12,0],[0,1],[8,-1],[-1,1],[3,-1]]
2/5;3/7;[[0,0],[1,0],[3,5],[3,1],[1,4],[5,5],[5,4]]
1/2;1/2;[[0,0],[4,0],[1,2],[0,-1],[4,-4],[2,-3]]
2/5;3/7;[[0,0],[1,0],[3,5],[2,5],[5,12],[-5,-13]]
2/3;2/3;[[0,0],[1,0],[0,7],[1,7],[-1,4],[2,4],[-1,5],[2,5]]
1/3;2/5;[[0,0],[2,0],[1,4],[-1,1],[-2,3],[-3,6]]
1/3;1/2;[[0,0],[1,0],[6,11],[6,9],[2,1],[5,6],[4,4]]
1/3;1/2;[[0,0],[2,0],[5,7],[-1,-2],[4,7],[7,12]]
1/2;1/2;[[0,0],[1,0],[0,2],[-4,1],[-6,4],[-6,3],[-4,4]]
9/26;1/2;[[0,0],[1,0],[3,11],[4,11],[4,13],[3,6],[2,2]]
2/3;2/3;[[0,0],[1,0],[3,7],[0,-2],[-2,-5],[7,14],[6,13]]
1/2;1/2;[[0,0],[3,0],[0,1],[9,-3],[3,-3]]
5/12;2/3;[[0,0],[1,0],[2,16],[3,20],[3,22]]
1;1;[[0,0],[12,0],[0,1],[10,-1],[-3,1],[7,-1]]
1;1;[[0,0],[2,0],[1,6],[1,-7],[0,-2],[2,-2]]
1/3;3/7;[[0,0],[1,0],[4,18],[5,20]]
2/3;2/3;[[0,0],[1,0],[1,7],[2,9],[2,8],[0,-7],[-1,-10],[-1,-11]]
2/5;1/2;[[0,0],[1,0],[4,7],[3,3],[6,8],[8,13],[9,14]]
8/33;2/5;[[0,0],[1,0],[6,8],[1,4],[2,6]]
16/63;1/2;[[0,0],[7,0],[0,2],[3,-1],[-3,2],[-4,3]]
1/3;1/2;[[0,0],[1,0],[5,14],[-2,-8],[4,12],[2,7]]
2/3;2/3;[[0,0],[9,0],[0,1],[8,-2],[7,-2],[-1,1]]
1/3;1/2;[[0,0],[1,0],[1,6],[3,8],[3,4],[4,8]]
2/3;2/3;[[0,0],[1,0],[0,1],[-8,8],[-3,2],[-10,8],[-9,7]]
2/9;2/3;[[0,0],[1,0],[0,9],[-1,6],[-1,12],[-2,14]]
1;1;[[0,0],[1,0],[0,2],[-8,1],[-12,2]]
2/9;2/3;[[0,0],[1,0],[0,9],[-1,4],[-2,11]]
4/9;1/2;[[0,0],[3,0],[0,1],[2,-3],[6,-3],[7,-2]]
1/3;1/2;[[0,0],[1,0],[2,3],[0,5],[-1,2],[2,7],[3,7]]
2/5;3/7;[[0,0],[1,0],[0,1],[-5,3],[-4,4],[-7,6],[-13,9]]
2/3;2/3;[[0,0],[1,0],[2,3],[-1,2],[0,6],[2,6],[-1,5]]
2/3;2/3;[[0,0],[2,0],[0,1],[10,3],[3,3]]
2/3;2/3;[[0,0],[1,0],[1,8],[2,8],[2,9],[0,6],[-1,2],[-1,3]]
11/42;1/2;[[0,0],[1,0],[2,6],[2,11],[3,13],[-1,-9]]
1/2;1/2;[[0,0],[1,0],[1,2],[2,3],[7,4],[10,7]]
4/9;1/2;[[0,0],[1,0],[3,5],[-1,-4],[-7,-13],[-8,-14]]
2/5;1/2;[[0,0],[1,0],[2,5],[-1,5],[-2,1],[-2,2]]
1/2;1/2;[[0,0],[1,0],[2,4],[-2,1],[-2,4],[-3,2],[-3,3]]
2/5;2/5;[[0,0],[1,0],[3,5],[-2,5]]
2/3;2/3;[[0,0],[1,0],[0,3],[3,-11],[2,-9],[3,-7],[1,-6]]
11/28;1/2;[[0,0],[1,0],[16,19],[7,7],[3,2]]
2/7;2/5;[[0,0],[1,0],[2,7],[3,7],[-2,1]]
2/3;2/3;[[0,0],[1,0],[2,3],[-5,2],[-6,3]]
1/2;1/2;[[0,0],[1,0],[0,1],[-5,2],[-5,4],[-10,5],[-7,3],[-7,5]]
3/7;1/2;[[0,0],[1,0],[2,3],[-2,1],[0,5],[-1,5],[-2,4]]
1/2;1/2;[[0,0],[1,0],[5,12],[-1,-3],[3,5],[4,11],[2,2],[6,16]]
1/2;1/2;[[0,0],[1,0],[7,10],[3,5],[-4,-7],[5,8],[7,9]]
1;1;[[0,0],[2,0],[1,6],[1,-5],[0,3],[2,5]]
2/7;1/2;[[0,0],[2,0],[2,3],[5,4],[6,6],[-2,-5]]
3/7;1/2;[[0,0],[2,0],[3,4],[1,-2],[-3,-6],[-4,-6]]
4/11;1/2;[[0,0],[2,0],[3,5],[-1,-6],[0,-6],[-1,-8]]
5/12;1/2;[[0,0],[1,0],[5,11],[6,11],[6,13],[2,1]]
5/12;2/3;[[0,0],[3,0],[2,4],[0,-4],[1,5]]
3/7;1/2;[[0,0],[2,0],[1,3],[-3,3],[-5,6]]
2/5;3/7;[[0,0],[1,0],[1,5],[2,5],[-2,3],[-3,1]]
1/2;1/2;[[0,0],[1,0],[3,14],[-1,-10],[3,13],[-1,-12]]
1/2;1/2;[[0,0],[4,0],[1,2],[0,1],[2,-3],[4,3]]
2/3;2/3;[[0,0],[1,0],[9,10],[-1,-2],[8,10],[7,9],[8,8]]
2/5;2/5;[[0,0],[1,0],[0,1],[6,-8],[4,-8],[2,-5],[3,-7]]
1/2;2/3;[[0,0],[1,0],[2,8],[3,10],[3,2]]
1/2;1/2;[[0,0],[1,0],[0,1],[-24,20],[-25,21]]
1/2;1/2;[[0,0],[1,0],[1,2],[6,2],[6,4],[10,4]]
3/7;3/7;[[0,0],[1,0],[1,5],[3,5],[3,6],[-1,3],[-2,1]]
2/3;2/3;[[0,0],[1,0],[0,1],[15,2],[18,3],[19,3]]
11/34;1/2;[[0,0],[4,0],[3,4],[0,-1],[1,4],[2,5]]
1/2;1/2;[[0,0],[1,0],[7,11],[3,3],[12,18],[13,20]]
2/3;2/3;[[0,0],[1,0],[5,6],[4,6],[9,13],[-7,-11]]
5/24;1/2;[[0,0],[1,0],[5,12],[-2,-7],[4,11],[4,8]]
1/3;2/5;[[0,0],[1,0],[0,1],[-6,3],[-3,1],[-14,9]]
4/9;1/2;[[0,0],[1,0],[2,5],[4,7],[3,7],[3,1],[4,3]]
1/2;1/2;[[0,0],[2,0],[0,1],[6,3],[4,4],[7,4],[1,3]]
1/2;1/2;[[0,0],[1,0],[0,3],[-4,4],[-4,1],[-1,4]]
3/8;1/2;[[0,0],[1,0],[3,13],[4,15],[4,17],[2,3]]
2/3;2/3;[[0,0],[2,0],[1,2],[-7,1],[-1,3],[0,3]]
12/49;2/5;[[0,0],[2,0],[3,5],[4,3],[-1,-4],[5,6]]
2/3;2/3;[[0,0],[1,0],[2,4],[3,9],[0,3],[1,8],[3,10]]
2/3;2/3;[[0,0],[3,0],[2,3],[5,3],[-1,2],[-3,1]]
1/4;2/3;[[0,0],[1,0],[1,7],[0,-8],[2,9],[-1,-11]]
5/18;2/5;[[0,0],[1,0],[3,6],[4,5],[1,5],[-1,2]]
12/35;3/7;[[0,0],[1,0],[5,7],[4,7],[3,1],[5,4]]
1/2;1/2;[[0,0],[1,0],[0,4],[-2,3],[3,3],[-3,2],[2,4]]
1/2;1/2;[[0,0],[1,0],[0,1],[-5,4],[-4,1],[-9,4],[-6,2]]
2/3;2/3;[[0,0],[1,0],[7,9],[10,15],[13,19]]
1/3;1/2;[[0,0],[6,0],[0,1],[-6,1],[13,-2],[-11,2]]
1/2;1/2;[[0,0],[1,0],[1,2],[7,4],[7,2],[9,4]]
2/5;1/2;[[0,0],[1,0],[0,4],[-2,5],[-3,3],[-3,1],[-1,6]]
2/5;1/2;[[0,0],[1,0],[0,4],[-3,4],[-2,6],[-3,2],[-1,6]]
15/44;1/2;[[0,0],[1,0],[7,11],[8,11],[-1,-3],[-4,-7]]
1;1;[[0,0],[5,0],[0,1],[2,2],[11,2]]
2/3;2/3;[[0,0],[1,0],[7,15],[2,2],[11,23]]
3/7;3/7;[[0,0],[2,0],[1,2],[3,5],[4,4],[-1,-4],[4,3],[-2,-5]]
2;2;[[0,0],[8,0],[0,1],[-22,1]]
1/2;1/2;[[0,0],[2,0],[5,6],[-2,-5],[-1,-4],[6,7],[6,6]]
1/2;1/2;[[0,0],[1,0],[2,3],[6,3],[5,5],[3,4],[8,5]]
2/5;3/7;[[0,0],[1,0],[4,5],[-8,-11],[10,12],[5,5],[11,13]]
4/9;1/2;[[0,0],[1,0],[2,5],[4,7],[4,2],[3,7]]
2/3;2/3;[[0,0],[1,0],[0,3],[-3,3],[-6,9]]
1/5;2/3;[[0,0],[1,0],[1,10],[3,10]]
1/5;2/3;[[0,0],[1,0],[1,10],[3,12]]
1/5;2/3;[[0,0],[1,0],[1,10],[3,14]]
1/3;1/2;[[0,0],[1,0],[1,6],[2,6],[-1,-11],[3,13]]
2/3;2/3;[[0,0],[1,0],[2,3],[-3,1],[-5,2],[-5,3]]
2/5;1/2;[[0,0],[1,0],[2,6],[1,5],[3,2],[4,6],[4,4]]
2/5;1/2;[[0,0],[1,0],[4,5],[5,5],[1,4],[-2,1]]
3/7;1/2;[[0,0],[1,0],[1,3],[-2,1],[-3,3],[0,6]]
16/55;3/7;[[0,0],[1,0],[3,10],[3,9],[-2,-11],[2,9]]
3/10;2/5;[[0,0],[1,0],[3,5],[1,4],[5,13],[5,14]]
1/4;1/2;[[0,0],[1,0],[8,11],[-4,-7],[-7,-11],[8,10]]
12/49;1/2;[[0,0],[1,0],[11,13],[12,15],[6,8],[2,3]]
2/7;1/2;[[0,0],[1,0],[10,17],[-3,-7],[13,22]]
2/3;2/3;[[0,0],[3,0],[2,3],[7,3],[6,1],[7,2]]
2/5;3/7;[[0,0],[1,0],[0,2],[-4,3],[-4,8]]
1/3;1/2;[[0,0],[1,0],[1,2],[6,8],[6,6],[5,8],[4,7]]
2/3;2/3;[[0,0],[1,0],[3,9],[0,-1],[1,6],[2,9],[3,5]]
8/25;2/5;[[0,0],[1,0],[6,9],[8,10],[5,8],[-3,-5]]
1/2;1/2;[[0,0],[1,0],[9,10],[-11,-14],[-9,-12],[10,11]]
7/15;2/3;[[0,0],[1,0],[0,5],[-1,1],[-1,9],[-2,6],[-2,10]]
1/2;1/2;[[0,0],[1,0],[0,1],[-10,5],[-7,3],[-9,4],[-5,4],[-7,5]]
5/21;2/5;[[0,0],[1,0],[9,13],[4,4],[9,11]]
2/5;1/2;[[0,0],[1,0],[1,2],[5,5],[3,5],[6,9],[8,11]]
7/20;1/2;[[0,0],[3,0],[0,1],[4,4],[2,-3],[1,-4]]
3/7;2/3;[[0,0],[1,0],[7,8],[7,7],[-6,-7],[-6,-8],[-8,-10]]
2/7;1/2;[[0,0],[1,0],[13,14],[-6,-8],[18,20]]
7/20;1/2;[[0,0],[1,0],[9,10],[-11,-14],[-8,-11]]
2/3;2/3;[[0,0],[1,0],[0,3],[1,-8],[2,-5],[3,-12],[3,-11]]
1/4;2/3;[[0,0],[1,0],[1,8],[2,10],[0,-7],[-1,-11]]
2/5;1/2;[[0,0],[1,0],[5,9],[2,5],[2,2],[6,12],[5,12],[6,13]]
13/49;1/2;[[0,0],[1,0],[1,2],[8,7],[8,5]]
4/9;2/3;[[0,0],[1,0],[6,11],[-2,-5],[6,12],[3,4],[4,9]]
5/14;1/2;[[0,0],[1,0],[0,2],[-7,2],[-3,4]]
1/3;1/2;[[0,0],[1,0],[5,7],[7,8],[3,1],[4,2]]
1/2;1/2;[[0,0],[2,0],[4,6],[4,3],[3,6],[-1,-3]]
4/9;1/2;[[0,0],[1,0],[0,1],[-3,1],[-3,3],[-9,5],[-11,7]]
1/2;1/2;[[0,0],[2,0],[0,1],[-4,1],[-12,4],[-8,4]]
2/5;1/2;[[0,0],[1,0],[3,8],[4,10],[4,4]]
2/5;2/5;[[0,0],[1,0],[0,4],[3,5],[4,5],[-2,3]]
1/2;1/2;[[0,0],[2,0],[1,2],[3,4],[8,4]]
2/3;2/3;[[0,0],[1,0],[1,7],[0,-3],[3,11],[3,8]]
1/2;1/2;[[0,0],[1,0],[0,1],[-3,1],[-4,4],[-7,4],[-9,6],[-8,6]]
1/2;1/2;[[0,0],[2,0],[2,4],[-1,1],[3,3],[-1,4],[-2,3]]
1/2;1/2;[[0,0],[1,0],[0,2],[-4,1],[-4,6]]
7/15;2/3;[[0,0],[5,0],[1,2],[3,-1],[6,2],[-2,1]]
1;1;[[0,0],[3,0],[0,1],[-10,1],[-14,2],[-7,2]]
3/7;2/3;[[0,0],[1,0],[2,5],[0,7],[-1,3],[2,7]]
3/7;2/3;[[0,0],[1,0],[2,14],[3,16],[3,20]]
8/23;3/7;[[0,0],[1,0],[4,11],[5,12],[2,2],[5,10],[4,7]]
3/7;1/2;[[0,0],[1,0],[0,1],[6,3],[3,4],[6,6]]
1/2;1/2;[[0,0],[2,0],[0,4],[-1,4],[6,1]]
7/20;1/2;[[0,0],[1,0],[4,9],[6,11],[3,3],[4,5]]
2/3;2/3;[[0,0],[1,0],[1,2],[5,1],[4,3],[8,2],[10,3]]
2/3;2/3;[[0,0],[1,0],[2,11],[-1,-13],[2,10],[0,-8],[-1,-15]]
1/3;1/2;[[0,0],[1,0],[1,6],[2,6],[-1,4],[-2,1],[-2,2]]
17/39;2/3;[[0,0],[4,0],[0,3],[-6,1]]
2/5;3/7;[[0,0],[1,0],[4,8],[0,-1],[3,7],[4,5],[5,8],[1,4]]
2/7;2/5;[[0,0],[1,0],[7,11],[6,8],[-5,-9],[-6,-11]]
4/9;2/3;[[0,0],[1,0],[0,8],[-1,5],[2,4],[-1,7]]
2/3;2/3;[[0,0],[1,0],[1,4],[-2,-13],[0,-7],[-1,-5],[-2,-11]]
2/5;1/2;[[0,0],[1,0],[6,10],[6,8],[11,18]]
