Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
9/65;2/3;[[0,0],[1,0],[9,13],[-11,-17]]
7/20;1/2;[[0,0],[1,0],[6,9],[6,11],[4,8],[0,1],[1,3]]
1;1;[[0,0],[1,0],[0,1],[8,1],[1,2],[14,2]]
1/2;1/2;[[0,0],[2,0],[2,3],[4,4],[6,4],[5,1],[6,2]]
1/3;1/2;[[0,0],[1,0],[2,3],[6,4],[6,7],[5,7]]
18/65;2/5;[[0,0],[1,0],[3,13],[-1,-9],[-2,-13],[2,5]]
3/7;2/3;[[0,0],[1,0],[1,7],[2,3],[3,11],[3,7]]
1;1;[[0,0],[1,0],[1,2],[-1,11],[-1,13],[0,13]]
1/3;1/2;[[0,0],[1,0],[0,1],[6,6],[6,4],[2,4]]
7/22;1/2;[[0,0],[1,0],[11,14],[-11,-16]]
1/2;1/2;[[0,0],[2,0],[1,4],[4,1],[5,4],[5,3]]
15/44;1/2;[[0,0],[1,0],[7,10],[9,11],[5,8]]
2/5;3/7;[[0,0],[2,0],[5,6],[-2,-5],[5,5],[6,7],[-2,-6]]
20/87;3/7;[[0,0],[6,0],[0,1],[1,-4]]
2/3;2/3;[[0,0],[1,0],[0,8],[-1,14],[2,-11],[-1,15],[2,-9]]
3/7;1/2;[[0,0],[1,0],[2,4],[-2,3],[2,7]]
1/3;1/2;[[0,0],[4,0],[1,3],[3,-3],[4,1],[2,-3]]
4/9;1/2;[[0,0],[1,0],[3,4],[4,5],[4,1],[7,7]]
1/2;1/2;[[0,0],[1,0],[0,1],[4,1],[6,2],[1,2],[5,4],[8,4]]
16/75;3/7;[[0,0],[6,0],[0,1],[5,-4]]
1/2;1/2;[[0,0],[1,0],[1,2],[-3,3],[-3,1],[-1,5],[0,5]]
2/3;2/3;[[0,0],[1,0],[3,8],[1,7],[2,3],[0,2],[2,9],[3,10]]
1;1;[[0,0],[1,0],[9,10],[14,15],[6,5]]
1/2;1/2;[[0,0],[1,0],[1,2],[-2,-9],[-2,-5],[-3,-10],[0,-5],[-3,-9]]
16/39;2/3;[[0,0],[1,0],[0,8],[-1,9],[-1,8],[2,-13]]
2/9;2/5;[[0,0],[6,0],[0,1],[3,-4]]
3/5;1;[[0,0],[1,0],[1,10],[2,14],[2,4]]
3/7;3/7;[[0,0],[3,0],[0,2],[1,-2],[4,4],[5,4]]
2/3;2/3;[[0,0],[1,0],[2,3],[3,7],[1,7],[3,9],[0,4]]
2/3;2/3;[[0,0],[1,0],[0,1],[7,-8],[8,-8],[5,-7],[3,-5]]
1/2;1/2;[[0,0],[1,0],[7,10],[1,2],[2,1],[6,9],[7,8]]
2/7;3/7;[[0,0],[1,0],[3,8],[1,3],[6,13],[-2,-7]]
2/5;2/5;[[0,0],[2,0],[3,6],[2,5],[3,1],[5,4]]
1/3;1/2;[[0,0],[1,0],[1,2],[6,6],[6,4],[5,6],[3,5]]
1/2;1/2;[[0,0],[1,0],[4,9],[5,11],[5,8],[2,1],[4,5]]
2/3;2/3;[[0,0],[1,0],[0,1],[-7,7],[-4,3],[-10,8],[-13,11]]
1;1;[[0,0],[2,0],[0,1],[-9,1],[-14,2],[-4,2]]
2/5;3/7;[[0,0],[2,0],[1,2],[5,5],[5,2],[3,5]]
2/5;3/7;[[0,0],[1,0],[5,8],[3,5],[4,5],[-6,-11],[-7,-12],[-8,-14]]
3/7;3/7;[[0,0],[1,0],[1,2],[4,7],[3,3],[6,10],[9,13]]
2/5;3/7;[[0,0],[1,0],[4,11],[5,13],[2,2],[5,10]]
4/9;1/2;[[0,0],[1,0],[1,3],[4,11],[2,1],[4,6]]
4/9;2/3;[[0,0],[1,0],[7,9],[4,3],[9,9]]
2/5;3/7;[[0,0],[1,0],[0,1],[-3,2],[-14,4],[-15,5],[-16,5]]
3/8;1/2;[[0,0],[1,0],[3,7],[6,11],[4,9],[4,5]]
2/3;2/3;[[0,0],[1,0],[5,7],[1,2],[3,5],[5,4],[7,7]]
3/7;2/3;[[0,0],[1,0],[2,8],[1,7],[0,-7],[-1,-9],[-1,-11]]
2/5;1/2;[[0,0],[1,0],[0,2],[-5,7],[-7,11],[-3,7]]
8/23;3/7;[[0,0],[1,0],[6,13],[-5,-14],[7,15]]
5/13;1/2;[[0,0],[4,0],[0,1],[11,-2],[1,-1],[13,-3],[14,-3]]
3/7;1/2;[[0,0],[1,0],[1,2],[6,11],[2,1],[6,8]]
1;1;[[0,0],[1,0],[1,13],[2,13],[0,-1],[2,10]]
2/9;2/3;[[0,0],[1,0],[1,9],[2,8],[0,-6],[-1,-10]]
1/2;1/2;[[0,0],[3,0],[0,3],[1,5],[5,1]]
1/3;2/5;[[0,0],[1,0],[3,11],[2,2],[5,17]]
2/5;3/7;[[0,0],[1,0],[0,5],[2,5],[-3,2]]
17/63;1/2;[[0,0],[1,0],[2,8],[3,9],[0,5],[-1,3]]
2/5;3/7;[[0,0],[1,0],[3,5],[5,5],[1,4],[5,3]]
2/5;1/2;[[0,0],[1,0],[0,4],[-3,8],[-2,3],[-2,8],[-3,5]]
1/2;1/2;[[0,0],[1,0],[0,1],[-10,4],[-7,4],[-4,1],[-9,3],[-7,2]]
3/7;1/2;[[0,0],[1,0],[2,3],[-6,-10],[-8,-15],[-8,-14]]
5/12;2/3;[[0,0],[3,0],[2,5],[2,-3],[3,6]]
2/3;2/3;[[0,0],[1,0],[2,6],[2,7],[0,7],[-1,3],[-1,4]]
2/5;1/2;[[0,0],[1,0],[1,4],[3,3],[4,9],[4,6],[3,8]]
1/3;1/2;[[0,0],[1,0],[1,2],[6,6],[6,4],[4,6]]
7/17;2/3;[[0,0],[1,0],[2,4],[9,15],[-4,-9]]
