Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
23/76;1/2;[[0,0],[1,0],[3,19],[4,19],[2,6],[4,24]]
9/28;1/2;[[0,0],[1,0],[0,7],[-2,13],[-3,14],[-2,6],[-3,12]]
3/8;3/8;[[0,0],[1,0],[5,10],[0,-1],[4,5],[1,4],[6,10],[6,9],[2,7]]
2/7;1/3;[[0,0],[1,0],[0,3],[1,1],[-2,1],[-3,2],[-6,11]]
1/2;1/2;[[0,0],[4,0],[0,1],[4,2],[2,-8]]
1/5;2/5;[[0,0],[1,0],[4,19],[5,20],[2,4],[4,13]]
8/35;2/5;[[0,0],[1,0],[15,23],[16,24],[7,9],[2,1]]
3/10;2/5;[[0,0],[1,0],[14,16],[-16,-19],[-19,-22]]
2/5;2/5;[[0,0],[2,0],[0,3],[-5,4],[-5,1],[-4,5],[-3,5]]
9/16;1;[[0,0],[1,0],[1,16],[2,20],[2,8]]
1/3;2/5;[[0,0],[1,0],[0,2],[-5,11],[-1,1],[-8,14],[-4,6],[-8,13]]
2/7;2/5;[[0,0],[1,0],[5,8],[9,13],[-12,-20],[-14,-23]]
11/36;1/2;[[0,0],[1,0],[8,9],[9,9],[6,8],[1,3],[3,6],[2,5]]
15/44;1/2;[[0,0],[1,0],[3,5],[8,22],[9,23],[9,24]]
1/2;1/2;[[0,0],[3,0],[1,4],[3,4],[-2,3],[5,3],[6,2]]
4/15;2/5;[[0,0],[1,0],[3,7],[1,6],[3,1],[5,5],[5,4]]
3/8;3/8;[[0,0],[1,0],[10,14],[2,1],[7,11],[10,15],[9,14],[7,8]]
1/2;1/2;[[0,0],[1,0],[4,17],[0,-1],[3,17],[4,14]]
21/68;1/2;[[0,0],[1,0],[3,17],[4,17],[2,4],[4,15],[3,9]]
1/2;1/2;[[0,0],[10,0],[1,2],[11,-2],[2,2],[12,-2]]
2/5;2/5;[[0,0],[1,0],[1,6],[3,11],[4,18],[3,16],[4,17],[-1,-8],[-1,-9]]
5/12;2/3;[[0,0],[1,0],[3,12],[2,16],[3,20]]
12/71;1/3;[[0,0],[1,0],[4,10],[6,11],[5,7],[2,7]]
2/7;1/3;[[0,0],[1,0],[3,7],[6,7],[4,2],[5,3],[6,5]]
11/36;1/2;[[0,0],[1,0],[8,9],[0,1],[9,9],[4,7],[3,6]]
1/2;1/2;[[0,0],[1,0],[0,1],[-9,6],[-12,6],[-15,9],[-5,2],[-7,3]]
1/3;3/8;[[0,0],[1,0],[9,14],[10,14],[10,15],[2,1],[5,5],[7,8]]
19/65;2/5;[[0,0],[1,0],[16,26],[19,30]]
5/16;2/5;[[0,0],[1,0],[2,4],[-3,-11],[-4,-17],[-2,-11],[4,13],[-4,-18]]
1/3;1/3;[[0,0],[1,0],[0,3],[-2,8],[-5,11],[-5,10],[-2,2],[-3,4]]
1/4;1/3;[[0,0],[1,0],[11,13],[7,9],[11,14],[-8,-11],[-10,-13],[-13,-17]]
19/65;2/5;[[0,0],[1,0],[0,4],[3,5],[-5,2],[-6,1]]
1/3;2/5;[[0,0],[2,0],[1,5],[2,-1],[-2,7],[-1,7],[-1,1],[-2,3],[-3,6]]
2/5;2/5;[[0,0],[2,0],[1,5],[-1,4],[4,1],[3,5],[5,3]]
9/28;1/2;[[0,0],[2,0],[2,7],[1,4],[3,6],[3,5],[0,-7],[-1,-7]]
