Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
23/76;1/2;[[0,0],[1,0],[3,19],[4,19],[2,6],[4,23]]
2/3;2/3;[[0,0],[2,0],[1,4],[2,-1],[-1,-5],[0,-9],[-1,-11]]
1/3;1/3;[[0,0],[1,0],[2,6],[3,3],[6,12],[4,11],[6,13]]
10/33;1/2;[[0,0],[1,0],[17,25],[8,10],[2,1]]
3/8;2/5;[[0,0],[1,0],[0,1],[1,3],[5,3],[8,6],[3,6]]
2/7;2/5;[[0,0],[1,0],[5,13],[5,16],[4,14],[1,5],[2,9]]
2/3;2/3;[[0,0],[1,0],[2,18],[-1,-16],[2,19],[-1,-15],[0,-11]]
3/10;3/8;[[0,0],[1,0],[1,3],[6,6],[6,1]]
9/16;1;[[0,0],[1,0],[1,16],[2,20],[2,9]]
8/37;1/3;[[0,0],[1,0],[10,16],[11,17],[7,12],[8,11],[11,16]]
2/5;2/5;[[0,0],[1,0],[2,4],[4,2],[6,4],[6,8],[4,7],[5,8]]
2/7;1/3;[[0,0],[1,0],[1,6],[3,11],[4,17],[-2,-15],[-2,-16]]
4/15;2/5;[[0,0],[1,0],[6,12],[5,12],[-5,-13],[-7,-17]]
2/3;2/3;[[0,0],[1,0],[4,5],[5,7],[-10,-15],[-12,-19],[-11,-18]]
1/3;3/8;[[0,0],[1,0],[0,5],[-1,7],[-2,3],[-3,5],[-5,11]]
2;2;[[0,0],[10,0],[0,1],[-33,1]]
1/2;1/2;[[0,0],[1,0],[2,5],[-5,-17],[-5,-14],[-1,-6],[-6,-18],[-6,-17]]
1/3;2/5;[[0,0],[1,0],[4,7],[0,1],[1,4],[6,12],[3,9],[5,13],[6,14]]
2/7;2/5;[[0,0],[1,0],[10,16],[11,17],[8,11],[7,12],[5,9]]
13/33;2/3;[[0,0],[1,0],[0,11],[-1,10],[2,8],[2,9]]
3/10;2/5;[[0,0],[1,0],[1,2],[3,1],[2,3],[12,9],[13,9]]
1/3;2/5;[[0,0],[2,0],[3,6],[0,6],[-1,2],[-2,5]]
1;1;[[0,0],[3,0],[0,1],[-17,1],[-21,2],[-15,2]]
6/25;1/3;[[0,0],[1,0],[10,15],[6,8],[7,12],[9,15],[-4,-7]]
1/3;1/3;[[0,0],[1,0],[1,5],[3,6],[4,3],[3,1],[-1,2],[5,6]]
1/2;1/2;[[0,0],[1,0],[1,2],[-2,-11],[-3,-10],[-1,-11],[-3,-8]]
7/34;2/5;[[0,0],[1,0],[5,11],[-3,-10],[-7,-16]]
2/3;2/3;[[0,0],[1,0],[0,2],[10,3],[12,3],[-7,1]]
2/7;1/3;[[0,0],[1,0],[5,19],[6,22],[2,3],[4,10]]
3/10;2/5;[[0,0],[1,0],[2,5],[-5,-16],[-5,-13],[-6,-18],[-7,-19]]
2/7;2/5;[[0,0],[2,0],[4,7],[4,5],[-1,1],[0,5]]
2/5;2/5;[[0,0],[1,0],[5,13],[4,11],[5,9],[1,4],[2,2],[6,13],[6,14]]
