Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
5/24;1/3;[[0,0],[1,0],[5,24],[6,26],[4,14],[6,27],[3,9]]
1/2;1/2;[[0,0],[1,0],[0,2],[3,3],[4,7],[1,6],[2,9],[4,12],[3,11]]
20/51;2/3;[[0,0],[1,0],[2,16],[2,19],[-1,-17],[1,15]]
2/5;2/5;[[0,0],[1,0],[3,10],[1,5],[-4,-21],[4,18],[4,19]]
1/3;1/3;[[0,0],[1,0],[5,14],[3,4],[3,10],[6,14],[6,12]]
1/3;1/3;[[0,0],[1,0],[0,2],[6,2],[8,3],[3,4],[8,6],[7,6]]
1/3;1/2;[[0,0],[1,0],[0,1],[-18,11],[-11,6],[-19,11],[-18,10],[-8,6]]
1/4;1/3;[[0,0],[1,0],[4,8],[5,7],[3,8],[-1,2],[0,5],[1,7]]
1/3;2/5;[[0,0],[2,0],[6,7],[8,8],[7,8],[8,6],[7,4],[5,1]]
1/4;1/3;[[0,0],[2,0],[0,1],[6,5],[8,11],[4,1]]
1/2;1/2;[[0,0],[1,0],[0,11],[-1,11],[-1,13],[3,1],[3,2]]
1/2;1/2;[[0,0],[1,0],[4,13],[4,17],[3,15],[0,3],[2,12]]
1/2;1/2;[[0,0],[1,0],[4,8],[9,15],[3,3],[8,12],[7,10],[9,17]]
2/5;2/5;[[0,0],[1,0],[5,15],[5,18],[0,1],[3,13],[1,7]]
7/25;2/5;[[0,0],[1,0],[4,17],[4,12],[7,25],[7,26]]
2/7;1/3;[[0,0],[1,0],[10,11],[2,1],[17,20],[26,32]]
2/5;2/5;[[0,0],[2,0],[0,5],[3,5],[-2,4],[-3,3],[-4,1]]
9/16;1;[[0,0],[1,0],[1,16],[2,20],[2,2]]
2/11;1/2;[[0,0],[2,0],[2,8],[3,5],[-1,-11],[1,6]]
1;1;[[0,0],[3,0],[0,1],[-16,1],[-20,2],[-5,2]]
3/10;2/5;[[0,0],[1,0],[0,2],[4,-11],[5,-16],[1,-6],[3,-14],[2,-11]]
1/2;1/2;[[0,0],[3,0],[1,4],[-2,3],[-3,2],[5,2],[6,4]]
1/5;2/5;[[0,0],[1,0],[9,11],[9,10],[7,10],[7,6],[5,3]]
2/3;2/3;[[0,0],[1,0],[0,12],[2,11],[2,12],[-1,7],[-1,8]]
5/19;2/5;[[0,0],[1,0],[4,8],[1,7],[2,10],[5,13],[5,11]]
2/11;2/5;[[0,0],[1,0],[8,11],[9,11],[5,9],[1,4]]
3/13;1/3;[[0,0],[4,0],[3,5],[3,-2],[5,8],[6,8],[6,9]]
4/13;1/3;[[0,0],[1,0],[4,9],[5,10],[6,9],[7,11],[1,5],[-1,2]]
1/3;1/2;[[0,0],[1,0],[0,2],[-12,24],[-16,30]]
2/7;1/3;[[0,0],[1,0],[8,19],[7,14],[10,23],[4,6],[2,1]]
1/2;1/2;[[0,0],[1,0],[3,4],[-12,-17],[14,18],[18,23],[19,24]]
1/3;1/3;[[0,0],[1,0],[3,9],[2,4],[4,17],[-4,-19],[3,14],[4,18]]
5/27;1/3;[[0,0],[1,0],[9,13],[9,12],[7,12],[8,9]]
18/65;2/5;[[0,0],[3,0],[2,4],[6,5],[-1,3],[-4,1]]
2/7;2/5;[[0,0],[2,0],[4,5],[0,4],[6,3],[-2,3],[6,4]]
1/3;1/3;[[0,0],[2,0],[2,5],[5,4],[-1,3],[5,6],[-3,1]]
2/7;2/5;[[0,0],[1,0],[8,19],[-6,-17],[5,10],[11,26],[10,23]]
1/2;1/2;[[0,0],[1,0],[14,17],[13,16],[4,3],[11,11]]
3/10;1/3;[[0,0],[1,0],[0,1],[1,-5],[4,-4],[2,-7],[6,-9],[6,-7],[7,-9]]
22/95;2/5;[[0,0],[1,0],[17,23],[-11,-17],[21,29]]
1/2;1/2;[[0,0],[1,0],[2,3],[-9,-17],[-10,-19],[-3,-9],[-4,-11]]
16/55;2/5;[[0,0],[1,0],[8,11],[5,9],[3,7],[-1,1],[-1,2]]
2/7;2/5;[[0,0],[1,0],[0,7],[-2,4],[-3,9],[-4,15]]
2/9;1/3;[[0,0],[1,0],[16,20],[-3,-5],[10,13],[-8,-11],[12,14]]
26/69;2/3;[[0,0],[1,0],[3,23],[2,23],[3,24],[2,10]]
1/3;1/3;[[0,0],[1,0],[0,3],[-5,16],[2,-5],[-3,11],[-5,13],[-7,20],[-8,21]]
5/22;1/3;[[0,0],[1,0],[14,19],[15,20],[13,16],[11,13],[6,6]]
3/11;2/5;[[0,0],[1,0],[0,3],[-6,14],[-6,12],[-4,7],[-3,10],[-4,12]]
1/3;1/3;[[0,0],[2,0],[0,6],[-3,4],[-2,7],[-3,5],[3,3]]
2/5;2/5;[[0,0],[3,0],[3,7],[0,-2],[5,6],[2,7],[5,5]]
2/3;2/3;[[0,0],[3,0],[1,3],[8,3],[-3,2],[-6,1]]
1/2;1/2;[[0,0],[2,0],[3,8],[-1,-12],[3,7],[-1,-15]]
2/5;2/5;[[0,0],[1,0],[0,2],[-5,3],[-7,6],[-6,4],[-7,7],[-2,5],[-4,7]]
2/5;2/5;[[0,0],[1,0],[12,15],[-14,-18],[7,8],[-19,-25]]
8/33;2/5;[[0,0],[1,0],[4,7],[-11,-26],[-10,-25],[-13,-31]]
4/15;1/3;[[0,0],[1,0],[2,5],[6,12],[-4,-11],[8,19],[7,17],[9,20]]
1/3;2/5;[[0,0],[2,0],[3,4],[3,5],[2,7],[-1,-9],[-2,-8]]
1/4;2/5;[[0,0],[1,0],[5,9],[5,7],[9,16],[-9,-17],[-11,-20],[-12,-22]]
1/5;1/2;[[0,0],[1,0],[0,9],[1,10],[2,4],[-1,7],[3,10]]
17/71;1/3;[[0,0],[4,0],[2,3],[3,2],[3,-4],[-1,5],[-2,3],[-2,4]]
2/3;2/3;[[0,0],[1,0],[2,3],[9,3],[-4,2],[-7,1]]
2/3;2/3;[[0,0],[1,0],[0,14],[-1,15],[-1,16],[2,5],[2,6]]
4/13;1/3;[[0,0],[1,0],[12,19],[-2,-5],[-10,-17],[-7,-13],[-9,-15],[-5,-8]]
2/9;1/3;[[0,0],[2,0],[1,3],[-4,5],[-2,9],[-1,8]]
1/3;1/3;[[0,0],[1,0],[3,5],[10,16],[-8,-14],[8,13],[10,15],[-10,-17],[6,8],[9,13]]
1/3;1/2;[[0,0],[1,0],[12,13],[3,2],[9,9],[6,8],[12,15]]
2/5;2/5;[[0,0],[1,0],[7,17],[3,4],[10,23],[6,11]]
4/13;1/2;[[0,0],[11,0],[1,2],[11,-2],[7,1],[13,-2]]
1/3;1/3;[[0,0],[1,0],[1,4],[6,6],[6,2],[3,6]]
8/27;2/5;[[0,0],[1,0],[0,3],[-6,1],[-4,4],[-8,2],[-1,5]]
1/2;1/2;[[0,0],[1,0],[3,7],[4,13],[0,-3],[1,6],[4,17],[2,11],[3,15]]
5/16;1/2;[[0,0],[1,0],[0,8],[-1,12],[-2,8],[-3,18],[-3,14]]
1/3;1/2;[[0,0],[6,0],[0,1],[16,-3],[17,-2],[8,-2],[21,-3]]
1/3;2/5;[[0,0],[1,0],[3,18],[-1,-11],[4,21],[4,18]]
1/2;1/2;[[0,0],[2,0],[3,4],[7,4],[-5,2]]
2/3;2/3;[[0,0],[1,0],[9,15],[8,13],[11,20],[-6,-12],[9,17]]
1/3;2/5;[[0,0],[1,0],[0,5],[3,-11],[-4,19],[-3,12],[-5,21]]
2/7;2/5;[[0,0],[1,0],[0,4],[-5,4],[-3,5],[6,1]]
4/13;2/5;[[0,0],[3,0],[3,7],[0,-2],[5,6],[2,7],[4,2]]
3/10;2/5;[[0,0],[1,0],[0,1],[14,8],[15,9],[14,9],[10,5],[8,6]]
5/17;2/5;[[0,0],[1,0],[3,9],[3,14],[4,15],[0,5],[-1,1],[4,16]]
2/7;1/3;[[0,0],[5,0],[1,4],[5,1],[3,-3],[2,-3],[-1,4]]
3/11;2/5;[[0,0],[2,0],[2,3],[8,7],[8,11],[7,10]]
2/7;1/3;[[0,0],[2,0],[0,1],[1,5],[5,7],[4,1],[6,7]]
5/18;1/2;[[0,0],[2,0],[4,16],[4,17],[1,-7]]
1/3;1/3;[[0,0],[1,0],[2,9],[2,3],[3,7],[4,17],[6,22],[6,23]]
2/5;2/5;[[0,0],[1,0],[4,14],[-1,-6],[3,14],[-1,-7],[2,11],[4,11]]
4/15;2/5;[[0,0],[1,0],[6,9],[3,8],[9,16],[8,13]]
2/7;1/3;[[0,0],[1,0],[2,7],[4,5],[3,7],[4,6],[-2,3],[-1,5]]
2/7;2/5;[[0,0],[1,0],[2,8],[2,14],[-1,-9],[3,17],[-1,-14],[-2,-19]]
2/5;2/5;[[0,0],[1,0],[0,1],[11,-14],[9,-13],[11,-13],[7,-11]]
1/4;1/3;[[0,0],[1,0],[9,13],[7,12],[10,17],[13,20],[13,21],[14,22]]
1/3;1/2;[[0,0],[2,0],[2,9],[1,6],[4,9],[3,1],[4,5]]
14/37;2/3;[[0,0],[1,0],[0,11],[2,14],[-1,6],[-1,9]]
16/43;2/3;[[0,0],[1,0],[10,20],[-9,-19],[13,27],[14,29]]
23/85;2/5;[[0,0],[1,0],[0,4],[-5,2],[4,5],[-7,1]]
