Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
2/3;2/3;[[0,0],[1,0],[2,3],[1,3],[-2,-7]]
1;1;[[0,0],[1,0],[1,2],[2,2],[-4,-9]]
2/3;2/3;[[0,0],[1,0],[0,3],[2,2],[-1,2],[2,3]]
2/3;2/3;[[0,0],[1,0],[3,4],[0,-1],[2,4],[3,3],[1,3]]
2/3;1;[[0,0],[6,0],[0,1],[3,-1],[-1,1]]
2/3;2/3;[[0,0],[2,0],[1,2],[0,3],[-2,1]]
2/3;1;[[0,0],[1,0],[1,6],[2,6],[0,-1]]
2;2;[[0,0],[2,0],[0,1],[-11,1]]
1;1;[[0,0],[1,0],[0,1],[-4,1],[-6,2],[-2,2]]
2/3;2/3;[[0,0],[1,0],[1,4],[0,-1],[3,4]]
3/5;2/3;[[0,0],[1,0],[3,5],[3,1]]
1;1;[[0,0],[1,0],[0,1],[2,3],[2,7]]
1;1;[[0,0],[1,0],[1,5],[2,5],[0,-1],[2,3]]
2/3;2/3;[[0,0],[1,0],[2,3],[0,3],[-1,1],[-1,2]]
2/3;1;[[0,0],[1,0],[10,11],[2,1]]
1/2;2/3;[[0,0],[1,0],[5,7],[-3,-5],[-2,-3]]
2/3;2/3;[[0,0],[1,0],[2,5],[3,5],[2,2],[3,7]]
3/7;2/3;[[0,0],[2,0],[1,2],[0,-3],[-1,-3]]
2;2;[[0,0],[6,0],[0,1],[-7,1]]
1;1;[[0,0],[1,0],[4,6],[3,6],[4,7]]
1/2;2/3;[[0,0],[1,0],[2,3],[1,4],[-1,-5]]
2;2;[[0,0],[4,0],[0,1],[-9,1]]
2/3;2/3;[[0,0],[1,0],[0,3],[-1,4],[2,-4],[1,-3],[2,-5]]
2/3;1;[[0,0],[6,0],[0,1],[2,-1],[-1,1]]
1/2;2/3;[[0,0],[3,0],[0,1],[4,2],[2,-1]]
2/3;2/3;[[0,0],[1,0],[1,3],[3,3],[3,1]]
1;1;[[0,0],[1,0],[6,7],[2,1],[8,9]]
7/11;1;[[0,0],[1,0],[5,9],[-1,-4]]
5/12;2/3;[[0,0],[1,0],[0,4],[-1,7],[2,-5]]
1;1;[[0,0],[5,0],[0,1],[4,-1],[-1,1],[2,-1]]
7/15;2/3;[[0,0],[2,0],[0,3],[-1,4],[3,-2]]
1/2;2/3;[[0,0],[1,0],[2,3],[-1,-5],[3,7]]
1;1;[[0,0],[1,0],[1,2],[4,2],[-2,1]]
2/3;2/3;[[0,0],[1,0],[0,1],[-4,1],[-6,3]]
2/3;2/3;[[0,0],[1,0],[2,3],[-1,2],[-1,3]]
1;1;[[0,0],[1,0],[0,2],[-3,1],[-5,2]]
7/10;1;[[0,0],[5,0],[0,1],[4,-1],[1,-1]]
1;1;[[0,0],[1,0],[2,3],[-2,-4],[-2,-6]]
2/3;2/3;[[0,0],[1,0],[0,1],[-12,10]]
3/4;3/4;[[0,0],[1,0],[0,1],[-12,9]]
2;2;[[0,0],[1,0],[0,1],[-12,1]]
8/15;2/3;[[0,0],[2,0],[0,1],[3,3],[1,-2]]
3/7;2/3;[[0,0],[1,0],[5,6],[-3,-5],[4,4]]
2/3;2/3;[[0,0],[1,0],[0,1],[4,2],[3,3],[5,3]]
16/33;2/3;[[0,0],[1,0],[3,7],[-1,-6]]
8/15;2/3;[[0,0],[2,0],[1,3],[-1,2],[2,-1]]
15/13;2;[[0,0],[1,0],[1,13]]
3/13;1;[[0,0],[1,0],[2,13]]
3/13;2/3;[[0,0],[1,0],[3,13]]
3/13;3/5;[[0,0],[1,0],[4,13]]
9/20;2/3;[[0,0],[1,0],[3,5],[2,5],[-1,-3]]
7/10;1;[[0,0],[1,0],[6,7],[9,10]]
1/2;2/3;[[0,0],[1,0],[2,4],[1,4],[-1,-5]]
7/10;1;[[0,0],[1,0],[1,5],[2,6],[2,3]]
1/2;2/3;[[0,0],[1,0],[1,2],[5,7],[-1,-3]]
2;2;[[0,0],[5,0],[0,1],[-8,1]]
1;1;[[0,0],[1,0],[0,1],[-5,1],[-6,2],[-4,2]]
3/4;3/4;[[0,0],[1,0],[0,1],[-3,1],[-6,4]]
3/5;2/3;[[0,0],[1,0],[4,9],[4,10]]
3/7;2/3;[[0,0],[1,0],[4,7],[4,5]]
7/10;1;[[0,0],[1,0],[1,5],[2,5],[2,2]]
9/22;2/3;[[0,0],[1,0],[2,5],[-1,-8]]
5/9;2/3;[[0,0],[1,0],[3,7],[3,4]]
2/3;2/3;[[0,0],[1,0],[2,6],[3,6],[3,7]]
2;2;[[0,0],[3,0],[0,1],[-10,1]]
5/11;2/3;[[0,0],[1,0],[2,3],[-3,-10]]
1;1;[[0,0],[2,0],[1,2],[4,1],[5,2]]
1;1;[[0,0],[1,0],[2,4],[3,4],[-2,-5]]
1;1;[[0,0],[2,0],[0,1],[-4,1],[-6,2],[-3,2]]
3/4;3/4;[[0,0],[2,0],[0,1],[3,1],[2,3],[3,3]]
2/3;1;[[0,0],[6,0],[0,1],[5,-1],[-1,1]]
1/2;2/3;[[0,0],[1,0],[2,7],[-1,-5],[-1,-4]]
3/4;3/4;[[0,0],[1,0],[2,4],[3,2],[3,5]]
5/7;1;[[0,0],[1,0],[2,7],[2,1]]
3/4;1;[[0,0],[1,0],[1,4],[2,6],[2,1]]
6/11;2/3;[[0,0],[4,0],[0,1],[3,-2],[-1,1]]
2/3;1;[[0,0],[6,0],[0,1],[4,-1],[-1,1]]
2/3;1;[[0,0],[1,0],[3,5],[-3,-8]]
3/5;2/3;[[0,0],[1,0],[3,5],[3,3],[1,3]]
4/7;2/3;[[0,0],[1,0],[3,5],[3,3],[5,7]]
3/4;1;[[0,0],[1,0],[2,3],[2,8]]
