Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
7/20;1/2;[[0,0],[2,0],[5,6],[-2,-5],[5,5],[0,-3]]
1/3;1/2;[[0,0],[1,0],[1,3],[4,7],[4,10],[6,12]]
7/15;2/3;[[0,0],[2,0],[1,3],[0,-5],[2,-3],[-1,-4]]
3/7;2/3;[[0,0],[1,0],[1,7],[3,9],[3,6]]
2;2;[[0,0],[5,0],[0,1],[-22,1]]
1;1;[[0,0],[1,0],[8,9],[5,4],[13,14]]
3/7;2/3;[[0,0],[1,0],[1,7],[3,11],[3,8]]
3/10;1/2;[[0,0],[1,0],[2,9],[2,3],[4,13]]
1/3;1/2;[[0,0],[1,0],[2,9],[2,3],[4,15]]
2/7;1/2;[[0,0],[1,0],[2,9],[2,3],[4,11]]
1/2;1/2;[[0,0],[1,0],[4,8],[0,-1],[3,8],[3,3],[4,5]]
1/3;1/2;[[0,0],[2,0],[3,7],[1,-3],[4,8],[4,9]]
2/3;2/3;[[0,0],[2,0],[0,1],[1,-5],[3,-4],[2,-6],[3,-1]]
3/7;1/2;[[0,0],[1,0],[6,21],[7,24]]
2/5;3/7;[[0,0],[1,0],[8,11],[2,1],[5,5],[11,15]]
1/2;2/3;[[0,0],[1,0],[1,4],[2,1],[3,3],[3,10]]
1;1;[[0,0],[12,0],[0,1],[4,-1],[-1,1],[2,-1]]
7/22;1/2;[[0,0],[1,0],[12,16],[14,19],[-4,-7]]
1/2;1/2;[[0,0],[1,0],[2,3],[1,4],[-2,1],[-1,4],[-3,2]]
23/57;2/3;[[0,0],[3,0],[0,1],[2,-6],[1,-6]]
3/7;1/2;[[0,0],[1,0],[2,3],[-2,1],[0,5],[-2,3]]
4/9;1/2;[[0,0],[1,0],[0,1],[-7,3],[-10,5],[-9,5],[-9,4],[-3,3]]
2/3;2/3;[[0,0],[1,0],[1,3],[4,10],[-3,-11],[5,12]]
2/5;1/2;[[0,0],[1,0],[3,8],[5,10],[6,13],[6,14]]
5/18;1/2;[[0,0],[1,0],[4,9],[6,12],[3,3]]
1;1;[[0,0],[5,0],[0,1],[-8,1],[-13,2],[-7,2]]
6/17;1/2;[[0,0],[2,0],[5,6],[-2,-5],[-1,-4],[4,3],[5,5]]
13/56;2/3;[[0,0],[1,0],[8,9],[8,8],[-9,-11]]
1/2;1/2;[[0,0],[1,0],[0,1],[4,-7],[3,-7],[4,-5],[1,-4],[2,-6]]
1/3;1/2;[[0,0],[1,0],[5,6],[3,5],[6,6],[4,2]]
17/39;2/3;[[0,0],[1,0],[3,13],[3,6]]
1/3;1/2;[[0,0],[1,0],[3,9],[1,5],[2,9],[-1,-6],[-1,-7]]
7/15;2/3;[[0,0],[2,0],[1,2],[-6,1],[-2,3]]
1;1;[[0,0],[12,0],[0,1],[6,-1],[-1,1],[4,-1]]
5/12;2/3;[[0,0],[1,0],[4,11],[-4,-15],[3,7]]
1/2;1/2;[[0,0],[1,0],[5,11],[4,11],[3,5],[-1,-3]]
2/5;1/2;[[0,0],[5,0],[0,1],[4,2],[5,1],[4,-1],[1,-2]]
4/9;1/2;[[0,0],[3,0],[0,2],[-5,4],[-5,2],[-2,3]]
14/33;2/3;[[0,0],[1,0],[6,11],[8,13],[4,5]]
3/7;2/3;[[0,0],[1,0],[6,7],[7,7],[3,5],[1,3]]
14/57;1/2;[[0,0],[1,0],[2,6],[3,14],[-1,-11]]
7/16;2/3;[[0,0],[1,0],[2,11],[2,5],[3,12],[3,16]]
4/9;1/2;[[0,0],[1,0],[3,5],[6,7],[5,7],[3,1]]
1/2;1/2;[[0,0],[4,0],[0,2],[4,1],[3,3],[3,-2]]
1/2;1/2;[[0,0],[1,0],[6,8],[10,13],[13,16]]
7/15;2/3;[[0,0],[1,0],[3,9],[1,5],[3,5],[2,9]]
2/7;3/7;[[0,0],[1,0],[3,5],[1,5],[5,11]]
2/3;2/3;[[0,0],[2,0],[1,3],[5,2],[-1,2],[6,3]]
7/15;2/3;[[0,0],[1,0],[5,6],[8,8],[6,7],[4,2]]
13/22;1;[[0,0],[11,0],[0,1],[10,-1],[5,-1]]
1/2;1/2;[[0,0],[1,0],[5,6],[2,1],[4,4],[3,6],[5,9]]
2/3;2/3;[[0,0],[3,0],[0,1],[1,3],[1,-3],[3,4]]
1/2;1/2;[[0,0],[1,0],[3,6],[0,-1],[6,8],[1,4]]
1;1;[[0,0],[1,0],[6,11],[-3,-7],[4,8],[6,10]]
2/5;1/2;[[0,0],[1,0],[6,7],[1,2],[6,9],[3,5],[8,11]]
2/5;3/7;[[0,0],[1,0],[0,1],[2,7],[5,10]]
29/133;3/7;[[0,0],[1,0],[6,13],[-5,-14]]
4/9;1/2;[[0,0],[1,0],[0,1],[2,3],[4,1],[6,5],[5,5]]
2/3;2/3;[[0,0],[2,0],[0,1],[-6,1],[-10,3],[-3,2],[-7,3]]
3/5;1;[[0,0],[10,0],[0,1],[8,-1],[1,-1]]
2/3;2/3;[[0,0],[1,0],[0,2],[3,6],[3,11]]
3/7;1/2;[[0,0],[1,0],[0,1],[5,5],[3,5],[5,4],[3,1],[4,2]]
15/26;1;[[0,0],[13,0],[0,1],[2,-1],[-1,1]]
2/3;2/3;[[0,0],[1,0],[1,2],[-1,-3],[4,5],[7,12],[8,13]]
2/5;3/7;[[0,0],[1,0],[2,5],[4,5],[-1,2],[0,4]]
14/33;2/3;[[0,0],[1,0],[2,11],[3,12],[3,10],[2,4]]
1/5;2/3;[[0,0],[1,0],[8,15],[6,9]]
15/26;1;[[0,0],[1,0],[24,25],[2,1]]
11/28;1/2;[[0,0],[3,0],[2,3],[3,2],[-1,2],[2,-3]]
3/8;1/2;[[0,0],[1,0],[2,3],[-2,-7],[4,11],[3,10]]
1/2;1/2;[[0,0],[1,0],[2,6],[0,1],[4,6],[4,5],[3,2]]
4/11;3/7;[[0,0],[1,0],[0,1],[-20,13],[-22,14]]
4/9;1/2;[[0,0],[1,0],[1,3],[4,10],[4,6],[2,1]]
3/7;1/2;[[0,0],[1,0],[0,5],[2,3],[-2,3],[2,5]]
6/17;1/2;[[0,0],[3,0],[1,3],[3,-4],[4,-3],[4,-5]]
4/11;1/2;[[0,0],[1,0],[0,1],[10,13],[11,14]]
3/7;2/3;[[0,0],[1,0],[5,6],[7,7],[-7,-9],[-9,-11]]
2/5;1/2;[[0,0],[1,0],[4,8],[4,5],[1,4],[2,6]]
5/12;1/2;[[0,0],[1,0],[3,7],[5,9],[5,11],[3,3]]
4/9;2/3;[[0,0],[1,0],[2,9],[3,11],[3,7],[2,2]]
1;1;[[0,0],[1,0],[2,4],[7,12],[-5,-11]]
6/17;1/2;[[0,0],[1,0],[7,9],[3,4],[8,9],[-4,-6],[-5,-7]]
4/11;1/2;[[0,0],[1,0],[4,7],[2,6],[1,4],[6,12]]
4/9;2/3;[[0,0],[1,0],[2,9],[-1,-11],[0,-8],[-1,-13]]
1/2;1/2;[[0,0],[1,0],[0,3],[2,4],[4,4],[-3,1]]
9/28;1/2;[[0,0],[1,0],[5,14],[5,11],[4,8]]
1/2;1/2;[[0,0],[1,0],[2,3],[4,4],[11,15],[12,16]]
1;1;[[0,0],[2,0],[1,5],[1,-4],[0,4],[2,5]]
2/3;2/3;[[0,0],[1,0],[0,2],[-6,2],[-5,3],[-6,1],[-4,3]]
1/3;1/2;[[0,0],[1,0],[2,8],[1,6],[3,8],[-1,-7]]
2/3;2/3;[[0,0],[1,0],[7,8],[8,9],[3,1],[5,3]]
1;1;[[0,0],[12,0],[0,1],[8,-1],[-1,1],[6,-1]]
2/3;2/3;[[0,0],[1,0],[0,3],[5,3],[-3,2]]
11/28;1/2;[[0,0],[1,0],[5,7],[-7,-13],[-6,-12],[-9,-17]]
5/12;1/2;[[0,0],[1,0],[1,3],[4,2],[4,6],[3,6]]
1/3;1/2;[[0,0],[1,0],[2,3],[7,8],[6,6],[7,10]]
1/5;2/3;[[0,0],[1,0],[5,9],[-6,-12],[-7,-13]]
4/9;1/2;[[0,0],[1,0],[0,2],[-3,2],[-5,5],[-4,3],[-2,5]]
6/13;2/3;[[0,0],[1,0],[2,9],[2,3],[3,13],[3,7]]
4/9;2/3;[[0,0],[1,0],[2,9],[-1,-14],[-1,-16]]
1;1;[[0,0],[1,0],[0,1],[-10,1],[-13,2],[-7,2]]
4/11;1/2;[[0,0],[2,0],[3,4],[3,3],[-1,-5],[1,3],[2,5]]
3/7;1/2;[[0,0],[1,0],[1,2],[5,3],[5,6],[3,5],[4,6]]
4/9;2/3;[[0,0],[1,0],[7,9],[9,10],[6,6],[11,13]]
2/5;3/7;[[0,0],[1,0],[3,5],[5,5],[5,2]]
2/3;2/3;[[0,0],[1,0],[0,6],[2,4],[-1,3],[-1,4],[2,6]]
1;1;[[0,0],[1,0],[0,1],[-10,1],[-12,2],[-6,2]]
2/3;2/3;[[0,0],[2,0],[0,1],[1,3],[6,2],[7,3]]
4/11;1/2;[[0,0],[2,0],[2,5],[0,4],[3,4],[-1,3]]
4/9;1/2;[[0,0],[2,0],[0,3],[3,-6],[-1,4],[4,-6]]
9/23;1/2;[[0,0],[2,0],[5,6],[-1,-4],[6,7],[6,6]]
1/2;1/2;[[0,0],[4,0],[1,3],[2,-2],[3,-2],[-1,2]]
3/11;3/7;[[0,0],[1,0],[11,17],[12,19],[-2,-5]]
1/2;1/2;[[0,0],[2,0],[0,4],[-2,4],[-1,5],[2,-3],[3,-3]]
2/9;2/3;[[0,0],[6,0],[1,2],[-4,1],[7,-1]]
3/7;2/3;[[0,0],[1,0],[7,8],[6,4],[7,5]]
1/4;1/2;[[0,0],[6,0],[1,2],[3,-2],[0,-1]]
4/9;1/2;[[0,0],[1,0],[0,3],[-2,1],[-3,4],[-1,5],[-3,6],[-2,6]]
19/77;3/7;[[0,0],[2,0],[1,3],[4,5],[-1,-5]]
2/5;1/2;[[0,0],[1,0],[2,4],[4,5],[5,5],[-1,2],[-2,1]]
1/2;1/2;[[0,0],[1,0],[0,1],[1,2],[5,2],[9,6]]
1/3;1/2;[[0,0],[1,0],[7,12],[7,10],[3,3],[6,8]]
6/17;1/2;[[0,0],[1,0],[5,9],[4,9],[4,5],[5,7]]
2/3;2/3;[[0,0],[1,0],[1,3],[-2,4],[-2,1],[0,6]]
1/2;1/2;[[0,0],[1,0],[0,1],[6,4],[6,3],[3,4],[1,3]]
1/5;2/3;[[0,0],[1,0],[9,17],[3,3]]
3/7;1/2;[[0,0],[1,0],[0,3],[-3,2],[-4,5],[-4,4],[-2,5]]
2/3;2/3;[[0,0],[1,0],[0,1],[-8,2],[-10,3],[-4,3]]
2/3;2/3;[[0,0],[2,0],[0,3],[4,3],[-3,2]]
4/11;1/2;[[0,0],[1,0],[6,7],[-14,-20]]
1/3;3/7;[[0,0],[1,0],[5,8],[7,11],[7,9],[4,4]]
13/40;2/5;[[0,0],[1,0],[9,11],[-3,-5],[14,17],[15,18]]
5/18;1/2;[[0,0],[1,0],[5,9],[11,18]]
5/13;1/2;[[0,0],[1,0],[2,5],[4,4],[1,4],[6,7]]
3/7;1/2;[[0,0],[2,0],[2,5],[1,4],[4,5],[4,3]]
2/3;2/3;[[0,0],[2,0],[1,3],[-3,1],[-4,3],[-4,2]]
2/3;2/3;[[0,0],[1,0],[4,5],[6,4],[5,6],[8,6]]
1/2;1/2;[[0,0],[1,0],[0,1],[2,-7],[3,-5],[1,-5],[4,-9],[4,-8]]
1/2;1/2;[[0,0],[1,0],[4,7],[7,10],[3,2]]
11/34;1/2;[[0,0],[2,0],[0,3],[-3,7],[5,-6]]
4/15;1/2;[[0,0],[2,0],[1,3],[-1,4],[3,-7]]
1;1;[[0,0],[2,0],[0,1],[-8,1],[-13,2],[-4,2]]
2/5;3/7;[[0,0],[2,0],[1,3],[0,5],[-2,1],[-3,2]]
1/3;1/2;[[0,0],[1,0],[0,6],[-2,4],[-2,1],[-3,2]]
5/14;1/2;[[0,0],[1,0],[7,10],[6,8],[-4,-7],[5,8],[7,11]]
1/2;1/2;[[0,0],[2,0],[2,3],[5,2],[5,6]]
4/11;1/2;[[0,0],[1,0],[3,8],[4,8],[4,7],[2,7],[1,5]]
13/33;2/3;[[0,0],[1,0],[9,15],[10,17],[-4,-9]]
3/7;2/3;[[0,0],[1,0],[0,7],[1,-6],[-1,10],[2,-9],[2,-8]]
5/13;1/2;[[0,0],[2,0],[0,1],[11,-6],[-3,2],[8,-5],[7,-3]]
1;1;[[0,0],[12,0],[0,1],[5,-1],[-1,1],[3,-1]]
4/9;1/2;[[0,0],[1,0],[2,5],[-3,-10],[-2,-9],[-3,-8]]
7/20;1/2;[[0,0],[1,0],[2,4],[5,5],[0,3],[-2,1]]
1/3;1/2;[[0,0],[1,0],[0,2],[-5,4],[-2,5],[-3,6]]
24/85;3/7;[[0,0],[5,0],[1,3],[2,-2],[0,-1]]
11/34;1/2;[[0,0],[1,0],[2,3],[12,16],[-4,-7]]
7/15;2/3;[[0,0],[1,0],[1,5],[2,7],[3,8],[2,1],[3,3]]
2/5;2/3;[[0,0],[1,0],[10,11],[-13,-15],[9,10]]
2/5;1/2;[[0,0],[2,0],[2,3],[5,2],[8,5]]
1/3;1/2;[[0,0],[1,0],[3,4],[6,5],[6,6],[4,1]]
5/24;2/5;[[0,0],[4,0],[2,3],[0,-3],[-1,-2]]
1/2;1/2;[[0,0],[1,0],[2,7],[2,3],[6,19]]
9/23;2/3;[[0,0],[2,0],[3,7],[3,8],[1,-5]]
1/2;1/2;[[0,0],[1,0],[4,9],[5,9],[5,11],[2,1],[3,3]]
3/7;1/2;[[0,0],[1,0],[5,6],[4,4],[0,2],[3,6],[2,5]]
1;1;[[0,0],[1,0],[5,10],[6,10],[-3,-7]]
1;1;[[0,0],[10,0],[0,1],[9,-1],[-2,1],[4,-1]]
16/39;2/3;[[0,0],[1,0],[2,13],[3,13],[0,-1]]
2/5;1/2;[[0,0],[1,0],[3,8],[4,10],[4,5]]
10/29;1/2;[[0,0],[3,0],[0,2],[5,-3],[-4,4],[-3,2]]
7/20;1/2;[[0,0],[2,0],[1,3],[3,-5],[-1,7],[3,-4]]
4/9;1/2;[[0,0],[1,0],[2,5],[-1,3],[1,6],[2,6],[-2,1]]
3/7;2/3;[[0,0],[1,0],[2,14],[3,16],[3,17]]
9/25;3/7;[[0,0],[1,0],[5,13],[5,10],[2,2]]
4/9;2/3;[[0,0],[1,0],[0,7],[-1,5],[2,5],[-1,6]]
3/7;2/3;[[0,0],[1,0],[3,8],[-4,-13],[4,9]]
2/5;3/7;[[0,0],[1,0],[8,10],[-7,-10],[8,9]]
