Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
1/2;1/2;[[0,0],[2,0],[0,1],[-11,3],[-14,4],[-5,3],[-8,4]]
1/3;2/5;[[0,0],[1,0],[0,1],[6,6],[6,4],[3,6]]
2/5;2/5;[[0,0],[1,0],[3,5],[5,7],[6,9],[-8,-14],[-9,-16],[-8,-15]]
14/33;2/3;[[0,0],[1,0],[9,19],[11,22],[13,27]]
1/2;1/2;[[0,0],[2,0],[3,4],[7,4],[-1,3]]
4/15;2/5;[[0,0],[1,0],[2,4],[-1,5],[-3,1],[1,6]]
36/247;2/5;[[0,0],[1,0],[8,19],[6,11]]
2/3;2/3;[[0,0],[1,0],[2,3],[1,3],[-10,-31]]
1/7;2/3;[[0,0],[1,0],[7,13],[-8,-16],[-9,-17]]
4/13;2/5;[[0,0],[1,0],[5,9],[3,8],[5,10],[1,5],[-1,1]]
3/7;3/7;[[0,0],[1,0],[6,13],[-3,-8],[6,15],[4,7]]
1;1;[[0,0],[1,0],[2,4],[9,16],[-8,-17]]
13/33;2/3;[[0,0],[1,0],[0,11],[-1,7],[-2,16],[-2,17]]
3/7;2/3;[[0,0],[1,0],[1,7],[3,9],[3,1]]
1/3;2/5;[[0,0],[2,0],[4,6],[3,1],[2,5],[6,6],[6,5]]
2/7;2/5;[[0,0],[1,0],[0,2],[7,14],[1,5]]
8/25;2/5;[[0,0],[1,0],[2,3],[7,3],[6,1],[7,5]]
2/5;2/5;[[0,0],[1,0],[1,3],[4,7],[4,2],[5,3],[5,8]]
2/5;2/5;[[0,0],[1,0],[5,6],[0,2],[2,6],[5,9]]
4/9;2/3;[[0,0],[1,0],[1,6],[3,5],[3,13],[2,11]]
1/3;1/3;[[0,0],[1,0],[0,1],[3,7],[6,22]]
1/3;2/5;[[0,0],[2,0],[0,3],[-3,7],[-2,3],[4,-5],[-5,8]]
2/5;2/5;[[0,0],[1,0],[3,5],[1,6],[0,5],[3,6],[-2,1],[-2,2]]
3/8;2/5;[[0,0],[1,0],[0,4],[-4,7],[-3,2],[-2,6],[-4,5]]
9/28;1/2;[[0,0],[1,0],[4,5],[7,7],[7,5],[4,1],[6,3]]
3/10;2/5;[[0,0],[1,0],[2,3],[2,9],[5,15],[4,10],[5,14]]
3/7;2/3;[[0,0],[1,0],[1,7],[3,11],[3,3]]
3/8;2/5;[[0,0],[1,0],[1,3],[7,6],[7,4],[9,6]]
2/5;2/5;[[0,0],[1,0],[0,5],[4,-19],[-2,12],[-1,5],[-2,11]]
1/3;1/2;[[0,0],[1,0],[9,11],[9,12],[8,9],[1,2],[6,9]]
1/2;1/2;[[0,0],[1,0],[4,9],[5,11],[6,12],[3,3],[6,9]]
3/7;3/7;[[0,0],[2,0],[0,3],[1,-3],[5,-9],[5,-10],[4,-9]]
6/17;2/5;[[0,0],[1,0],[3,5],[5,6],[-4,-7],[8,11],[8,13]]
8/39;1/2;[[0,0],[1,0],[9,18],[11,23],[12,26]]
7/25;2/5;[[0,0],[1,0],[11,18],[-8,-15],[9,14]]
1/3;3/8;[[0,0],[1,0],[0,1],[5,-9],[3,-8],[6,-9],[2,-7]]
2/3;2/3;[[0,0],[1,0],[13,14],[-10,-12],[-11,-13],[14,15],[11,11]]
1/2;1/2;[[0,0],[1,0],[1,2],[-3,8],[-3,7],[0,8]]
11/42;2/5;[[0,0],[1,0],[2,3],[-5,-13],[-3,-11],[-4,-9]]
2/5;2/3;[[0,0],[1,0],[1,10],[2,5],[3,14],[3,11]]
5/22;2/5;[[0,0],[1,0],[6,8],[-1,1],[2,6],[0,3]]
4/9;1/2;[[0,0],[2,0],[1,3],[4,1],[4,9]]
5/12;2/3;[[0,0],[1,0],[3,13],[1,8],[2,15],[3,17]]
1/2;1/2;[[0,0],[1,0],[8,13],[-1,-3],[-2,-4],[7,12],[8,12],[5,9],[6,8]]
4/17;2/5;[[0,0],[1,0],[12,17],[11,16],[9,11]]
1/2;1/2;[[0,0],[1,0],[6,13],[-1,-4],[6,11],[4,10],[3,8]]
11/35;2/5;[[0,0],[1,0],[5,7],[-11,-20],[-10,-19],[-13,-24]]
3/8;1/2;[[0,0],[1,0],[0,2],[-4,5],[-7,10],[-7,11],[-6,8],[-3,7]]
4/11;1/2;[[0,0],[1,0],[0,2],[-6,7],[-6,8],[-5,5],[-4,7],[-5,8],[-3,2]]
2/5;2/5;[[0,0],[1,0],[0,1],[5,-7],[2,-7],[5,-5]]
4/11;1/2;[[0,0],[1,0],[1,8],[-1,5],[2,8],[2,9],[-2,3]]
2/3;2/3;[[0,0],[1,0],[0,1],[-10,2],[-8,1],[-11,3],[-2,2],[-7,3]]
19/77;1/3;[[0,0],[1,0],[6,21],[7,22]]
1/3;2/5;[[0,0],[1,0],[11,13],[9,10],[-6,-8],[7,9],[12,15]]
2/5;2/5;[[0,0],[1,0],[2,5],[3,5],[-1,4],[5,3]]
16/55;2/5;[[0,0],[1,0],[8,11],[7,11],[3,1]]
7/12;1;[[0,0],[1,0],[1,12],[2,18],[2,5]]
4/13;2/5;[[0,0],[1,0],[5,9],[8,12],[4,4],[8,11],[7,9]]
1/2;1/2;[[0,0],[1,0],[0,1],[-7,4],[-5,1],[-12,4],[-10,3]]
1/2;1/2;[[0,0],[1,0],[1,2],[6,6],[4,3],[7,10],[9,12]]
2/3;2/3;[[0,0],[1,0],[0,1],[-9,3],[-14,3],[-7,1],[-13,2]]
15/88;1/2;[[0,0],[1,0],[3,11],[-1,5]]
9/28;2/5;[[0,0],[1,0],[5,13],[6,13],[7,18],[9,22]]
10/49;2/5;[[0,0],[1,0],[6,7],[-12,-17],[11,15]]
2/7;1/2;[[0,0],[1,0],[0,7],[-1,6],[2,5],[1,7],[-2,3]]
1;1;[[0,0],[5,0],[1,2],[10,1],[14,2]]
2/5;2/5;[[0,0],[2,0],[1,2],[-3,2],[-5,5],[-4,3],[-1,5]]
5/13;1/2;[[0,0],[1,0],[2,6],[0,7],[-1,2],[2,7],[-2,5]]
3/7;3/7;[[0,0],[1,0],[0,1],[-10,2],[-20,5],[-22,5]]
1/2;1/2;[[0,0],[4,0],[0,1],[3,3],[3,-5],[4,2]]
4/11;2/5;[[0,0],[2,0],[2,3],[7,5],[4,4],[7,2]]
2/5;2/5;[[0,0],[1,0],[4,8],[4,9],[1,6],[-1,2],[-1,3]]
7/17;2/3;[[0,0],[1,0],[3,17],[2,3],[3,8]]
43/261;2/5;[[0,0],[1,0],[9,19],[-7,-18]]
1/3;2/5;[[0,0],[1,0],[6,10],[-1,-3],[11,16],[12,18]]
2/5;2/5;[[0,0],[1,0],[0,1],[8,5],[5,5],[4,1],[8,4]]
22/57;2/3;[[0,0],[1,0],[16,17],[-17,-19],[15,16]]
1/4;2/5;[[0,0],[3,0],[3,4],[-1,-4],[1,-3],[4,2],[5,5]]
1/3;2/5;[[0,0],[1,0],[5,6],[4,6],[6,5],[6,4],[1,4]]
4/15;1/3;[[0,0],[1,0],[3,8],[0,-1],[7,10]]
3/8;2/5;[[0,0],[1,0],[2,3],[-2,4],[-3,2],[2,4],[0,6]]
5/12;1/2;[[0,0],[1,0],[2,6],[1,8],[2,9],[-2,2]]
2/3;2/3;[[0,0],[1,0],[8,14],[3,6],[-4,-9],[8,13],[9,15]]
1/3;1/3;[[0,0],[1,0],[4,6],[-2,-4],[16,21]]
5/13;1/2;[[0,0],[1,0],[7,11],[8,12],[-5,-8],[8,11],[-5,-9]]
2/3;2/3;[[0,0],[1,0],[6,7],[9,9],[8,9],[4,2],[7,5]]
1;1;[[0,0],[14,0],[0,1],[11,-1],[-4,1],[6,-1]]
14/45;2/5;[[0,0],[3,0],[4,5],[-1,-3],[4,6],[2,5],[3,6]]
5/13;1/2;[[0,0],[1,0],[0,1],[1,4],[5,12],[7,14]]
2/5;2/5;[[0,0],[1,0],[5,17],[4,10],[6,18],[2,3],[6,20]]
8/27;2/5;[[0,0],[1,0],[11,18],[12,19],[9,13],[3,3]]
2/5;2/5;[[0,0],[1,0],[4,6],[4,5],[-1,1],[2,6],[-1,2],[0,5]]
1;1;[[0,0],[2,0],[1,2],[10,1],[17,2]]
5/16;2/5;[[0,0],[1,0],[1,3],[6,9],[5,9],[4,8],[4,4],[6,7]]
15/44;1/2;[[0,0],[1,0],[13,23],[-6,-11],[14,25]]
5/16;2/5;[[0,0],[2,0],[2,5],[-1,-5],[1,-2],[4,8],[5,9]]
2/3;2/3;[[0,0],[5,0],[2,3],[-3,2],[4,2],[-4,3]]
2/3;2/3;[[0,0],[1,0],[5,6],[9,9],[7,8],[4,2],[7,5]]
8/27;2/5;[[0,0],[1,0],[5,13],[6,15],[7,16],[4,7],[6,12]]
2/3;2/3;[[0,0],[1,0],[1,9],[2,8],[0,8],[2,9],[-1,4],[-1,6]]
2/5;2/3;[[0,0],[1,0],[16,17],[-13,-15],[10,10],[-11,-13]]
3/8;1/2;[[0,0],[1,0],[2,12],[0,-5],[-1,-9],[3,15],[3,12]]
5/14;1/2;[[0,0],[1,0],[1,5],[4,9],[3,3],[3,9],[2,8],[4,7]]
2/5;2/5;[[0,0],[1,0],[0,1],[11,3],[10,4],[14,4],[14,5],[16,5]]
4/11;2/5;[[0,0],[1,0],[5,10],[3,3],[3,7],[6,10],[4,9],[6,8]]
2/3;2/3;[[0,0],[1,0],[1,9],[2,8],[2,10],[-1,2],[-1,5]]
