Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
2;2;[[0,0],[5,0],[0,1],[-6,1]]
3/5;2/3;[[0,0],[1,0],[2,3],[-2,1]]
3/4;3/4;[[0,0],[1,0],[0,1],[2,1],[3,3],[1,3]]
1;1;[[0,0],[1,0],[0,1],[-4,1],[-5,2],[-3,2]]
2/3;2/3;[[0,0],[1,0],[0,3],[-1,3],[2,-5]]
1;1;[[0,0],[1,0],[0,1],[1,2],[5,2]]
2/3;3/4;[[0,0],[1,0],[3,5],[3,2]]
2;2;[[0,0],[3,0],[0,1],[-8,1]]
1;1;[[0,0],[1,0],[2,4],[3,4],[-1,-3]]
3/4;1;[[0,0],[1,0],[4,5],[7,8]]
5/9;2/3;[[0,0],[1,0],[2,4],[-1,-5],[1,3]]
2/3;3/4;[[0,0],[1,0],[1,3],[3,3],[3,2]]
2/3;3/4;[[0,0],[1,0],[1,3],[3,5],[3,4]]
7/10;1;[[0,0],[5,0],[0,1],[2,-1],[-1,1]]
7/10;1;[[0,0],[1,0],[1,5],[2,5],[0,-1]]
5/9;2/3;[[0,0],[3,0],[0,1],[2,-2],[1,-2]]
1/2;2/3;[[0,0],[1,0],[4,5],[-1,-3],[5,7]]
2/3;1;[[0,0],[1,0],[4,7],[-1,-4]]
3/4;3/4;[[0,0],[1,0],[0,1],[5,2],[6,3]]
1;1;[[0,0],[1,0],[1,4],[2,4],[0,-1],[2,2]]
2;2;[[0,0],[2,0],[0,1],[-9,1]]
13/11;2;[[0,0],[1,0],[1,11]]
3/11;1;[[0,0],[1,0],[2,11]]
3/11;2/3;[[0,0],[1,0],[3,11]]
8/15;2/3;[[0,0],[1,0],[2,5],[3,5],[0,-1]]
3/4;3/4;[[0,0],[1,0],[2,3],[3,4],[3,1]]
3/4;3/4;[[0,0],[1,0],[1,2],[3,3],[2,3],[3,1]]
7/10;1;[[0,0],[5,0],[0,1],[4,-1],[-1,1]]
7/10;1;[[0,0],[1,0],[8,9],[2,1]]
1/2;2/3;[[0,0],[1,0],[4,7],[2,1]]
2;2;[[0,0],[1,0],[0,1],[-10,1]]
5/6;1;[[0,0],[1,0],[0,1],[-10,6]]
2;2;[[0,0],[4,0],[0,1],[-7,1]]
11/21;2/3;[[0,0],[1,0],[2,5],[-1,-6]]
3/4;1;[[0,0],[1,0],[1,4],[2,4],[2,1]]
3/4;1;[[0,0],[1,0],[1,4],[2,5],[2,2]]
1;1;[[0,0],[1,0],[4,5],[2,1],[6,7]]
1;1;[[0,0],[1,0],[1,2],[2,2],[-3,-7]]
5/7;1;[[0,0],[1,0],[2,7],[2,3]]
1;1;[[0,0],[1,0],[0,2],[-3,2],[-3,1]]
1;1;[[0,0],[1,0],[0,1],[-4,2],[-6,4]]
2/3;3/4;[[0,0],[1,0],[6,8],[7,9]]
7/10;1;[[0,0],[5,0],[0,1],[3,-1],[-1,1]]
