Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
23/76;1/2;[[0,0],[1,0],[3,19],[4,19],[2,6],[4,21]]
1/3;2/5;[[0,0],[1,0],[5,16],[6,19],[7,21],[3,5]]
6/23;2/5;[[0,0],[1,0],[14,23],[8,11]]
2/5;2/5;[[0,0],[1,0],[2,3],[-2,4],[-3,3],[-4,1],[2,4],[0,5],[1,5]]
4/21;2/5;[[0,0],[1,0],[3,19],[-1,-13],[4,24]]
3/8;3/8;[[0,0],[1,0],[5,13],[1,3],[8,18],[4,11],[-1,-5]]
9/16;1;[[0,0],[1,0],[1,16],[2,20],[2,11]]
7/24;1/3;[[0,0],[1,0],[6,8],[5,8],[6,5],[4,1]]
1/2;1/2;[[0,0],[1,0],[1,2],[-3,-8],[0,-7],[-3,-7],[-1,-10]]
4/11;2/5;[[0,0],[1,0],[1,2],[2,3],[14,11],[16,12]]
2/3;2/3;[[0,0],[3,0],[2,3],[-4,1],[-6,3],[-6,2]]
3/10;2/5;[[0,0],[1,0],[0,4],[-4,7],[-3,2],[-4,5],[-2,7]]
3/8;2/5;[[0,0],[2,0],[1,4],[-3,4],[-1,6],[-3,1]]
2/5;2/5;[[0,0],[1,0],[1,2],[-4,-11],[-4,-9],[-3,-11],[0,-5]]
2/5;2/5;[[0,0],[1,0],[1,2],[-3,5],[-4,8],[-2,8],[-4,7],[0,6]]
5/16;1/2;[[0,0],[2,0],[7,8],[-4,-7],[-3,-6],[6,5],[8,8]]
2/7;1/3;[[0,0],[2,0],[3,5],[4,3],[-3,-7],[-5,-9],[-6,-11]]
3/8;2/5;[[0,0],[1,0],[0,5],[-3,5],[-2,7],[-2,1],[-3,6],[2,2]]
8/29;2/5;[[0,0],[1,0],[3,7],[-2,1],[-1,5],[-2,4]]
2/5;2/5;[[0,0],[1,0],[0,2],[-6,3],[-5,1],[-6,5],[-4,5]]
2/5;2/3;[[0,0],[1,0],[8,9],[10,10],[17,19],[22,24]]
2/5;2/3;[[0,0],[1,0],[2,11],[1,10],[0,-10],[-1,-13],[-1,-14]]
2/3;2/3;[[0,0],[1,0],[1,10],[2,12],[2,10],[0,-9],[-1,-13],[-1,-14]]
1/2;1/2;[[0,0],[1,0],[1,3],[4,4],[5,1],[7,2],[8,4],[8,3]]
2/5;2/3;[[0,0],[1,0],[5,10],[9,15],[-5,-11]]
1/3;1/2;[[0,0],[1,0],[4,6],[7,8],[0,1],[3,5],[4,2],[7,6]]
1/2;1/2;[[0,0],[1,0],[6,9],[6,7],[11,16],[14,19]]
2/5;2/5;[[0,0],[1,0],[2,3],[-3,1],[2,4],[0,5],[1,5],[-4,3]]
3/10;3/8;[[0,0],[1,0],[3,8],[6,13],[5,10],[-6,-17]]
6/19;1/2;[[0,0],[1,0],[11,19],[13,22],[6,8]]
13/33;2/3;[[0,0],[1,0],[0,11],[-1,7],[-2,16],[-2,19]]
1/2;1/2;[[0,0],[1,0],[0,1],[-16,4],[-13,4],[-6,1],[-15,3]]
14/33;2/3;[[0,0],[1,0],[2,5],[10,21],[11,22]]
1;1;[[0,0],[1,0],[4,7],[-6,-12],[-10,-22]]
5/22;1/3;[[0,0],[3,0],[0,2],[-7,5],[12,-7]]
3/7;2/3;[[0,0],[1,0],[1,7],[3,11],[3,3],[2,11]]
3/13;3/8;[[0,0],[2,0],[4,6],[-1,-7],[5,11],[0,-5]]
1/2;1/2;[[0,0],[1,0],[0,2],[-5,1],[-6,4],[-9,4],[-9,3]]
5/34;1/3;[[0,0],[1,0],[2,11],[4,16],[-2,-13]]
1/3;1/3;[[0,0],[2,0],[5,7],[2,3],[4,3],[-3,-7],[-4,-7]]
1/3;2/5;[[0,0],[1,0],[10,14],[-3,-5],[7,11],[10,15],[9,14],[4,4]]
3/7;2/3;[[0,0],[1,0],[2,8],[1,11],[0,7],[2,13],[-1,2]]
5/16;2/5;[[0,0],[4,0],[1,2],[-1,1],[2,-1],[9,4],[10,4]]
2/7;1/3;[[0,0],[2,0],[5,7],[3,6],[-1,-3],[0,-3],[2,5],[5,5]]
