Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
1;1;[[0,0],[1,0],[2,3],[2,1],[4,5]]
2;2;[[0,0],[1,0],[0,1],[-8,1]]
3/4;1;[[0,0],[4,0],[0,1],[2,-1],[-1,1]]
3/5;3/4;[[0,0],[1,0],[3,5],[3,3]]
1;1;[[0,0],[1,0],[0,1],[-3,1],[-4,2],[-2,2]]
4/7;3/4;[[0,0],[3,0],[0,1],[7,-2]]
2;2;[[0,0],[4,0],[0,1],[-5,1]]
1;1;[[0,0],[1,0],[0,2],[-2,1],[-3,2]]
1;1;[[0,0],[1,0],[3,4],[2,4],[3,5]]
5/7;1;[[0,0],[1,0],[3,5],[-1,-4]]
5/6;1;[[0,0],[1,0],[1,3],[2,4],[2,1]]
4/5;1;[[0,0],[1,0],[2,5],[2,1]]
11/9;2;[[0,0],[1,0],[1,9]]
1/3;1;[[0,0],[1,0],[2,9]]
5/9;3/4;[[0,0],[1,0],[4,9]]
3/4;1;[[0,0],[1,0],[6,7],[2,1]]
3/4;1;[[0,0],[4,0],[0,1],[3,-1],[-1,1]]
1;1;[[0,0],[1,0],[1,2],[2,2],[-2,-5]]
2/3;3/4;[[0,0],[1,0],[0,3],[-2,3]]
2/3;3/4;[[0,0],[1,0],[0,3],[-2,1]]
2;2;[[0,0],[3,0],[0,1],[-6,1]]
1;1;[[0,0],[3,0],[0,3]]
2;2;[[0,0],[2,0],[0,1],[-7,1]]
2/3;3/4;[[0,0],[2,0],[1,2],[-1,1],[2,-1]]
3/4;1;[[0,0],[1,0],[1,4],[2,4],[0,-1]]
5/6;1;[[0,0],[1,0],[2,3],[5,6]]
