Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
7/20;1/2;[[0,0],[1,0],[3,10],[7,20],[7,22]]
1/5;2/5;[[0,0],[1,0],[10,13],[11,15],[1,3]]
2/3;2/3;[[0,0],[1,0],[0,1],[3,11],[2,13],[3,15],[1,9]]
2/3;2/3;[[0,0],[3,0],[1,3],[-5,2],[2,3],[-7,1]]
15/26;1;[[0,0],[1,0],[1,13],[2,7],[2,19]]
17/92;1/3;[[0,0],[1,0],[18,23],[12,14]]
5/16;2/5;[[0,0],[1,0],[5,9],[8,12],[4,4],[8,11],[6,7]]
5/12;2/3;[[0,0],[1,0],[3,14],[3,9],[1,8],[2,13]]
2/3;2/3;[[0,0],[1,0],[16,17],[-13,-15],[17,18],[-9,-11]]
7/12;1;[[0,0],[1,0],[1,12],[2,18],[2,4]]
1/2;1/2;[[0,0],[1,0],[7,11],[-10,-19],[6,9],[-8,-16],[-12,-23]]
8/25;2/5;[[0,0],[1,0],[4,7],[-5,-9],[6,8],[10,15],[9,13]]
9/35;2/5;[[0,0],[1,0],[5,15],[-3,-13],[6,19],[-2,-11]]
3/10;2/5;[[0,0],[1,0],[0,4],[-3,11],[5,-17],[5,-18]]
2/7;2/5;[[0,0],[3,0],[1,4],[3,-5],[4,-3],[5,-7]]
3/8;2/5;[[0,0],[1,0],[7,11],[1,2],[2,1],[6,11],[7,9]]
3/10;2/5;[[0,0],[4,0],[0,1],[3,-2],[13,-4],[14,-4]]
2/5;2/5;[[0,0],[1,0],[9,12],[8,11],[10,12],[8,9],[-4,-6],[-5,-7]]
1/2;1/2;[[0,0],[1,0],[0,1],[-8,2],[-6,1],[-4,3],[-10,4],[-7,4]]
4/11;1/2;[[0,0],[1,0],[1,3],[5,3],[6,7],[7,7],[4,6]]
1;1;[[0,0],[2,0],[1,3],[0,-6],[2,-10]]
6/17;1/2;[[0,0],[3,0],[2,3],[-1,-3],[5,5],[2,-1],[7,6]]
1/2;1/2;[[0,0],[4,0],[0,1],[3,3],[3,-5],[4,3]]
1/3;2/5;[[0,0],[1,0],[3,5],[-1,4],[4,8],[4,9]]
7/17;2/3;[[0,0],[1,0],[3,17],[2,3],[3,7]]
1/2;1/2;[[0,0],[2,0],[0,4],[-2,1],[2,3],[-3,2],[3,2],[-4,4]]
2/5;3/7;[[0,0],[1,0],[2,3],[2,8],[7,23]]
1/2;1/2;[[0,0],[1,0],[2,3],[-1,4],[0,4],[-4,1],[-4,3],[-5,2]]
2/5;1/2;[[0,0],[1,0],[1,2],[7,8],[6,9],[12,15]]
1/4;1/2;[[0,0],[1,0],[2,10],[1,8],[2,3],[3,7],[4,12]]
2/7;1/2;[[0,0],[1,0],[9,11],[7,7],[1,2],[4,6],[8,11]]
1/3;3/7;[[0,0],[1,0],[11,16],[3,2],[6,6]]
1/2;1/2;[[0,0],[1,0],[1,2],[-2,5],[-3,9],[-1,9],[-3,8],[0,7]]
19/65;2/5;[[0,0],[1,0],[7,8],[8,11],[-12,-17]]
1/2;1/2;[[0,0],[3,0],[1,3],[-2,1],[0,4],[-4,4],[-5,3]]
