Classical Q-codegree ; Fine Q-codegree ; Vertices of Polytope 
1/2;1/2;[[0,0],[4,0],[0,1],[4,2],[2,-3]]
2/5;1/2;[[0,0],[1,0],[2,5],[4,4],[4,8]]
1/3;2/3;[[0,0],[2,0],[1,3],[0,-6],[-1,-4]]
1;1;[[0,0],[1,0],[0,1],[-10,1],[-9,2],[-12,2]]
1/3;2/3;[[0,0],[1,0],[2,8],[1,6],[0,-6],[-1,-8]]
8/33;1/2;[[0,0],[6,0],[0,1],[2,-3]]
2/7;2/3;[[0,0],[1,0],[0,7],[-1,7],[2,3]]
1;1;[[0,0],[9,0],[0,1],[7,-1],[4,-1],[-3,1]]
4/9;2/3;[[0,0],[1,0],[6,7],[6,5],[3,1],[5,3]]
17/69;1/2;[[0,0],[6,0],[0,1],[1,-3]]
1/2;1/2;[[0,0],[1,0],[7,8],[-5,-7],[7,9],[6,8]]
13/57;1/2;[[0,0],[6,0],[0,1],[5,-3]]
7/15;2/3;[[0,0],[1,0],[2,10],[3,10],[3,14]]
2/3;2/3;[[0,0],[1,0],[7,9],[-8,-12],[-4,-7]]
7/30;1/2;[[0,0],[6,0],[0,1],[4,-3]]
1/3;1/2;[[0,0],[6,0],[0,1],[3,-3]]
4/9;2/3;[[0,0],[1,0],[0,6],[-1,5],[2,2],[2,4]]
2/5;1/2;[[0,0],[1,0],[4,5],[5,5],[-2,1]]
2/7;2/3;[[0,0],[1,0],[1,7],[2,7],[0,5],[-1,2]]
7/18;1/2;[[0,0],[1,0],[10,12],[14,18]]
2/3;2/3;[[0,0],[1,0],[2,4],[1,6],[-1,1],[2,7],[-1,2]]
8/19;2/3;[[0,0],[2,0],[0,5],[1,-4],[-1,6],[-1,7]]
7/15;2/3;[[0,0],[1,0],[0,5],[-1,6],[-2,4],[-2,1]]
2/3;2/3;[[0,0],[1,0],[3,9],[4,9],[5,13],[5,14]]
2/3;2/3;[[0,0],[1,0],[0,2],[-4,1],[-5,3],[-5,2],[-1,3]]
2/3;2/3;[[0,0],[2,0],[2,3],[4,3],[-1,-2],[0,-2],[4,5],[5,5]]
8/19;1/2;[[0,0],[2,0],[4,5],[-1,-4],[-1,-6]]
1/2;1/2;[[0,0],[1,0],[2,4],[-1,3],[1,5],[2,5],[-2,1]]
2/3;2/3;[[0,0],[1,0],[0,1],[3,5],[3,9],[1,5]]
2/5;1/2;[[0,0],[2,0],[2,4],[3,2],[1,3],[-1,-5]]
5/11;2/3;[[0,0],[1,0],[3,11],[2,2],[3,5]]
1/2;1/2;[[0,0],[1,0],[2,4],[4,3],[3,1],[4,7]]
7/15;2/3;[[0,0],[1,0],[0,5],[-1,3],[1,6],[2,3],[2,5]]
4/9;2/3;[[0,0],[1,0],[2,8],[2,7],[-1,-9],[1,7]]
7/15;2/3;[[0,0],[1,0],[1,2],[6,10],[-3,-7],[6,9]]
2/5;3/7;[[0,0],[1,0],[3,5],[4,5],[-1,3]]
1/2;1/2;[[0,0],[2,0],[0,4],[-1,4],[2,3],[4,1]]
2;2;[[0,0],[6,0],[0,1],[-18,1]]
5/8;1;[[0,0],[1,0],[1,8],[2,10],[2,2]]
1/2;1/2;[[0,0],[1,0],[1,4],[3,4],[3,8],[4,8]]
2/5;1/2;[[0,0],[1,0],[5,7],[5,4],[3,1],[4,2]]
2/5;1/2;[[0,0],[1,0],[3,8],[5,10],[3,4]]
1;1;[[0,0],[1,0],[1,2],[-1,8],[-1,10],[0,10]]
2/7;2/3;[[0,0],[1,0],[0,7],[-1,5],[2,3]]
4/9;2/3;[[0,0],[1,0],[0,6],[-1,6],[2,2],[2,4]]
8/25;1/2;[[0,0],[1,0],[2,9],[3,10],[-1,-7]]
8/19;1/2;[[0,0],[1,0],[4,13],[-1,-7],[5,16]]
8/25;1/2;[[0,0],[1,0],[3,5],[-2,-7],[4,9],[-3,-8]]
13/22;1;[[0,0],[11,0],[0,1],[10,-1],[8,-1]]
1/3;2/3;[[0,0],[1,0],[1,6],[0,-6],[2,7],[-1,-9]]
3/5;1;[[0,0],[10,0],[0,1],[8,-1],[4,-1]]
2/3;2/3;[[0,0],[1,0],[6,7],[4,5],[-6,-8],[6,6],[-7,-9]]
7/15;2/3;[[0,0],[1,0],[2,7],[1,5],[3,7],[2,1],[3,5]]
2/3;2/3;[[0,0],[1,0],[9,10],[-7,-9],[6,6],[10,11],[-5,-7]]
2/7;2/3;[[0,0],[1,0],[0,7],[-1,3],[-2,9]]
2/3;2/3;[[0,0],[1,0],[1,2],[5,1],[3,3],[7,3]]
4/9;2/3;[[0,0],[1,0],[1,6],[2,6],[0,-5],[-1,-7],[-1,-9]]
4/9;2/3;[[0,0],[1,0],[2,12],[3,14],[3,16]]
1/2;1/2;[[0,0],[1,0],[0,4],[-3,2],[-4,4]]
1;1;[[0,0],[1,0],[0,2],[-6,1],[-10,2]]
13/42;1/2;[[0,0],[4,0],[0,1],[3,-5]]
7/15;2/3;[[0,0],[1,0],[3,7],[1,5],[3,10],[2,9]]
11/34;1/2;[[0,0],[4,0],[1,4],[4,-1],[2,4]]
7/20;1/2;[[0,0],[3,0],[0,2],[-3,2],[5,-3],[-4,3]]
7/22;1/2;[[0,0],[4,0],[0,1],[2,-5]]
15/46;1/2;[[0,0],[4,0],[0,1],[1,-5]]
4/9;2/3;[[0,0],[1,0],[0,7],[-1,12],[2,-9],[-1,13]]
2/5;1/2;[[0,0],[5,0],[0,1],[5,-2],[2,-2],[4,-3]]
4/9;2/3;[[0,0],[6,0],[0,1],[13,-2],[16,-2]]
2/5;1/2;[[0,0],[1,0],[3,7],[5,9],[2,1],[3,3]]
2;2;[[0,0],[3,0],[0,1],[-21,1]]
1/2;2/3;[[0,0],[1,0],[2,3],[-1,2],[1,6],[2,7]]
1/2;1/2;[[0,0],[1,0],[3,4],[5,2],[7,4]]
17/55;1/2;[[0,0],[5,0],[0,2],[2,-1],[-3,2],[-4,3]]
1/2;1/2;[[0,0],[4,0],[0,1],[4,2],[5,2],[1,-2],[2,-2]]
1/2;1/2;[[0,0],[1,0],[1,3],[2,5],[4,3],[5,5]]
1;1;[[0,0],[10,0],[0,1],[7,-1],[-1,1],[4,-1]]
7/15;2/3;[[0,0],[1,0],[2,5],[0,5],[2,7],[-1,2]]
2/5;1/2;[[0,0],[1,0],[1,2],[3,1],[4,4],[6,5],[6,3]]
3/7;1/2;[[0,0],[1,0],[6,7],[-4,-5],[-6,-9],[-5,-8]]
10/21;2/3;[[0,0],[1,0],[7,9],[7,7],[4,3]]
6/19;3/7;[[0,0],[1,0],[5,7],[-9,-16],[4,5]]
2/3;2/3;[[0,0],[1,0],[2,6],[-3,-12],[-4,-14]]
11/40;1/2;[[0,0],[1,0],[9,10],[-11,-14]]
17/77;1/2;[[0,0],[1,0],[3,7],[-7,-17]]
2/5;1/2;[[0,0],[1,0],[6,9],[3,5],[-2,-5],[-5,-9]]
3/14;1/2;[[0,0],[1,0],[6,7],[-14,-17]]
1/2;1/2;[[0,0],[2,0],[0,1],[2,-4],[5,-6],[4,-6]]
2/5;1/2;[[0,0],[1,0],[0,4],[-2,3],[-1,6],[-3,6],[-3,5]]
1/3;1/2;[[0,0],[2,0],[4,5],[6,3]]
7/40;1/2;[[0,0],[2,0],[4,5],[-4,-7]]
7/15;2/3;[[0,0],[1,0],[1,5],[3,7],[2,1],[3,3]]
7/15;2/3;[[0,0],[1,0],[1,2],[7,1],[5,3]]
2/3;2/3;[[0,0],[1,0],[3,9],[6,15]]
1/2;1/2;[[0,0],[4,0],[1,2],[3,-2],[4,1],[-1,1],[-1,2]]
3/7;1/2;[[0,0],[3,0],[3,4],[6,1]]
32/187;3/7;[[0,0],[1,0],[9,11],[-10,-13]]
1/2;1/2;[[0,0],[1,0],[1,3],[-2,1],[-3,2],[0,5]]
1;1;[[0,0],[2,0],[0,1],[-8,1],[-11,2],[-5,2]]
4/9;1/2;[[0,0],[1,0],[3,5],[5,6],[4,6],[5,5],[3,1]]
2/3;2/3;[[0,0],[1,0],[0,6],[-1,4],[-1,5],[2,3],[2,4]]
